,0
AllocatedShareBasedCompensationExpense,"{'precision': 0.46621621621621623, 'recall': 0.2727272727272727, 'f1': 0.3441396508728179, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.8478260869565217, 'recall': 0.2484076433121019, 'f1': 0.3842364532019704, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.4292682926829268, 'recall': 0.1568627450980392, 'f1': 0.22976501305483027, 'number': 561}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"{'precision': 0.455026455026455, 'recall': 0.8775510204081632, 'f1': 0.5993031358885017, 'number': 196}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"{'precision': 0.2857142857142857, 'recall': 0.02631578947368421, 'f1': 0.04819277108433735, 'number': 76}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"{'precision': 0.09465020576131687, 'recall': 0.38016528925619836, 'f1': 0.1515650741350906, 'number': 121}"
overall_precision,0.37507418397626113
overall_recall,0.24496124031007752
overall_f1,0.2963657678780774
overall_accuracy,0.9718552692595808
,
AllocatedShareBasedCompensationExpense,"{'precision': 0.5749086479902558, 'recall': 0.621870882740448, 'f1': 0.5974683544303798, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.8402366863905325, 'recall': 0.9044585987261147, 'f1': 0.8711656441717791, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.24731182795698925, 'recall': 0.19491525423728814, 'f1': 0.21800947867298576, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.3873239436619718, 'recall': 0.5882352941176471, 'f1': 0.46709129511677283, 'number': 561}"
