,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.7974683544303798, 'recall': 0.4217894096165551, 'f1': 0.5517515923566879, 'number': 1643}"
DebtInstrumentFaceAmount,"{'precision': 0.37073863636363635, 'recall': 0.19419642857142858, 'f1': 0.2548828125, 'number': 1344}"
LettersOfCreditOutstandingAmount,"{'precision': 0.1724137931034483, 'recall': 0.011235955056179775, 'f1': 0.02109704641350211, 'number': 445}"
LineOfCredit,"{'precision': 0.06521739130434782, 'recall': 0.028409090909090908, 'f1': 0.039577836411609495, 'number': 528}"
LineOfCreditFacilityCommitmentFeePercentage,"{'precision': 0.04513064133016627, 'recall': 0.1111111111111111, 'f1': 0.06418918918918919, 'number': 171}"
LineOfCreditFacilityCurrentBorrowingCapacity,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 193}"
LineOfCreditFacilityInterestRateAtPeriodEnd,"{'precision': 0.055064581917063225, 'recall': 0.826530612244898, 'f1': 0.10325047801147229, 'number': 98}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.43448275862068964, 'recall': 0.037477691850089236, 'f1': 0.06900328587075576, 'number': 1681}"
LineOfCreditFacilityRemainingBorrowingCapacity,"{'precision': 0.0899966543994647, 'recall': 0.6844783715012722, 'f1': 0.1590774689532821, 'number': 393}"
LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage,"{'precision': 0.3023255813953488, 'recall': 0.3051643192488263, 'f1': 0.3037383177570093, 'number': 213}"
overall_precision,0.20470359031450042
overall_recall,0.21925771351915338
overall_f1,0.2117308384310903
overall_accuracy,0.9676830498835012
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.7426981919332406, 'recall': 0.6500304321363359, 'f1': 0.6932814021421617, 'number': 1643}"
DebtInstrumentFaceAmount,"{'precision': 0.4400428265524625, 'recall': 0.30580357142857145, 'f1': 0.36084284460052685, 'number': 1344}"
LettersOfCreditOutstandingAmount,"{'precision': 0.3385416666666667, 'recall': 0.14606741573033707, 'f1': 0.20408163265306123, 'number': 445}"
LineOfCredit,"{'precision': 0.15303030303030302, 'recall': 0.19128787878787878, 'f1': 0.17003367003367, 'number': 528}"
LineOfCreditFacilityCommitmentFeePercentage,"{'precision': 0.15436241610738255, 'recall': 0.13450292397660818, 'f1': 0.14375, 'number': 171}"
LineOfCreditFacilityCurrentBorrowingCapacity,"{'precision': 0.015353121801432957, 'recall': 0.07772020725388601, 'f1': 0.02564102564102564, 'number': 193}"
LineOfCreditFacilityInterestRateAtPeriodEnd,"{'precision': 0.16136919315403422, 'recall': 0.673469387755102, 'f1': 0.2603550295857988, 'number': 98}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.4345070422535211, 'recall': 0.3670434265318263, 'f1': 0.39793614962915186, 'number': 1681}"
