,0
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.8601036269430051, 'recall': 0.9171270718232044, 'f1': 0.8877005347593583, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8333333333333334, 'recall': 0.029411764705882353, 'f1': 0.056818181818181816, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.4046242774566474, 'recall': 0.25, 'f1': 0.3090507726269316, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.5, 'recall': 0.06666666666666667, 'f1': 0.11764705882352941, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.3333333333333333, 'recall': 0.03076923076923077, 'f1': 0.056338028169014086, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 66}"
Goodwill,"{'precision': 0.46153846153846156, 'recall': 0.7192429022082019, 'f1': 0.562268803945746, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.19718309859154928, 'recall': 0.17872340425531916, 'f1': 0.1875, 'number': 235}"
overall_precision,0.4712230215827338
overall_recall,0.32587064676616917
overall_f1,0.3852941176470589
overall_accuracy,0.977531036894562
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.835820895522388, 'recall': 0.9281767955801105, 'f1': 0.8795811518324607, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8623853211009175, 'recall': 0.5529411764705883, 'f1': 0.6738351254480288, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.7337662337662337, 'recall': 0.875968992248062, 'f1': 0.7985865724381626, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.6256410256410256, 'recall': 0.4357142857142857, 'f1': 0.5136842105263157, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.6601307189542484, 'recall': 0.6121212121212121, 'f1': 0.6352201257861635, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.375, 'recall': 0.46153846153846156, 'f1': 0.41379310344827586, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.2894736842105263, 'recall': 0.16666666666666666, 'f1': 0.21153846153846154, 'number': 66}"
Goodwill,"{'precision': 0.7813504823151125, 'recall': 0.7665615141955836, 'f1': 0.7738853503184713, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.3588957055214724, 'recall': 0.4978723404255319, 'f1': 0.4171122994652406, 'number': 235}"
overall_precision,0.6375239310784939
overall_recall,0.621268656716418
overall_f1,0.6292913385826772
overall_accuracy,0.9839307571253716
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.8398058252427184, 'recall': 0.9558011049723757, 'f1': 0.8940568475452196, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8441558441558441, 'recall': 0.7647058823529411, 'f1': 0.8024691358024691, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.6985294117647058, 'recall': 0.7364341085271318, 'f1': 0.7169811320754716, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.5907172995780591, 'recall': 0.5, 'f1': 0.5415860735009672, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.7112676056338029, 'recall': 0.6121212121212121, 'f1': 0.6579804560260586, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.4230769230769231, 'recall': 0.676923076923077, 'f1': 0.5207100591715975, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.3333333333333333, 'recall': 0.13636363636363635, 'f1': 0.1935483870967742, 'number': 66}"
Goodwill,"{'precision': 0.8291814946619217, 'recall': 0.7350157728706624, 'f1': 0.7792642140468228, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.4072727272727273, 'recall': 0.4765957446808511, 'f1': 0.43921568627450985, 'number': 235}"
overall_precision,0.6638924455825864
overall_recall,0.6449004975124378
overall_f1,0.6542586750788644
overall_accuracy,0.9855219443958734
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.8808290155440415, 'recall': 0.9392265193370166, 'f1': 0.9090909090909092, 'number': 181}"
