,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.8921739130434783, 'recall': 0.31223371880706025, 'f1': 0.46257889990982864, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.125, 'recall': 0.002688172043010753, 'f1': 0.005263157894736843, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.8461538461538461, 'recall': 0.24444444444444444, 'f1': 0.37931034482758624, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.2302888368462139, 'recall': 0.21949404761904762, 'f1': 0.22476190476190477, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.6818181818181818, 'recall': 0.13636363636363635, 'f1': 0.22727272727272724, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.2909090909090909, 'recall': 0.046511627906976744, 'f1': 0.08020050125313284, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.4670406732117812, 'recall': 0.36553238199780463, 'f1': 0.4100985221674877, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.20673076923076922, 'recall': 0.16862745098039217, 'f1': 0.1857451403887689, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.6559139784946236, 'recall': 0.2890995260663507, 'f1': 0.4013157894736842, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.15476190476190477, 'recall': 0.10317460317460317, 'f1': 0.12380952380952381, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.7692307692307693, 'recall': 0.00594883997620464, 'f1': 0.011806375442739079, 'number': 1681}"
LongTermDebt,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 387}"
overall_precision,0.4283893985728848
overall_recall,0.19301871627052475
overall_f1,0.2661283938890208
overall_accuracy,0.96983595118512
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.8797284190106692, 'recall': 0.55203895313451, 'f1': 0.6783844427823484, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.22972972972972974, 'recall': 0.1827956989247312, 'f1': 0.20359281437125748, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.9389312977099237, 'recall': 0.9111111111111111, 'f1': 0.924812030075188, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.5386416861826698, 'recall': 0.34226190476190477, 'f1': 0.41856232939035487, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.5709219858156028, 'recall': 0.7318181818181818, 'f1': 0.6414342629482072, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.3230088495575221, 'recall': 0.42441860465116277, 'f1': 0.36683417085427134, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.7183006535947712, 'recall': 0.6031833150384193, 'f1': 0.655727923627685, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.17197452229299362, 'recall': 0.15976331360946747, 'f1': 0.16564417177914112, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.6702508960573477, 'recall': 0.7333333333333333, 'f1': 0.7003745318352059, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.5697211155378487, 'recall': 0.6777251184834123, 'f1': 0.619047619047619, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.5632911392405063, 'recall': 0.7063492063492064, 'f1': 0.6267605633802817, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.7257064093728464, 'recall': 0.6264128494943486, 'f1': 0.6724137931034484, 'number': 1681}"
LongTermDebt,"{'precision': 0.12162162162162163, 'recall': 0.023255813953488372, 'f1': 0.03904555314533622, 'number': 387}"
overall_precision,0.6438237834725021
overall_recall,0.5134917901021931
overall_f1,0.5713190673906099
overall_accuracy,0.9785944280096815
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.8595912986156888, 'recall': 0.7936701156421181, 'f1': 0.8253164556962025, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.2818181818181818, 'recall': 0.08333333333333333, 'f1': 0.1286307053941909, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.9230769230769231, 'recall': 0.8888888888888888, 'f1': 0.9056603773584906, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.6505576208178439, 'recall': 0.390625, 'f1': 0.4881450488145048, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.5364238410596026, 'recall': 0.7363636363636363, 'f1': 0.6206896551724138, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.47743467933491684, 'recall': 0.5843023255813954, 'f1': 0.5254901960784314, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.8446239900559354, 'recall': 0.7458836443468716, 'f1': 0.7921888662197611, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.13664596273291926, 'recall': 0.1301775147928994, 'f1': 0.13333333333333333, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.6420454545454546, 'recall': 0.8862745098039215, 'f1': 0.7446457990115322, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.5379746835443038, 'recall': 0.8056872037914692, 'f1': 0.6451612903225806, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.7583892617449665, 'recall': 0.8968253968253969, 'f1': 0.8218181818181819, 'number': 126}"
