,0
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.7590361445783133, 'recall': 0.34806629834254144, 'f1': 0.47727272727272724, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8181818181818182, 'recall': 0.052941176470588235, 'f1': 0.09944751381215469, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.10606060606060606, 'recall': 0.05426356589147287, 'f1': 0.07179487179487179, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.5, 'recall': 0.010714285714285714, 'f1': 0.02097902097902098, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.16666666666666666, 'recall': 0.030303030303030304, 'f1': 0.05128205128205128, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.058823529411764705, 'recall': 0.045454545454545456, 'f1': 0.05128205128205128, 'number': 66}"
Goodwill,"{'precision': 0.38860103626943004, 'recall': 0.7097791798107256, 'f1': 0.5022321428571428, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.2719298245614035, 'recall': 0.26382978723404255, 'f1': 0.2678185745140389, 'number': 235}"
overall_precision,0.3563327032136106
overall_recall,0.23445273631840796
overall_f1,0.2828207051762941
overall_accuracy,0.9746109459695751
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.726027397260274, 'recall': 0.585635359116022, 'f1': 0.6483180428134557, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.9134615384615384, 'recall': 0.5588235294117647, 'f1': 0.6934306569343065, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.746268656716418, 'recall': 0.7751937984496124, 'f1': 0.7604562737642587, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.45726495726495725, 'recall': 0.3821428571428571, 'f1': 0.4163424124513619, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.5794392523364486, 'recall': 0.37575757575757573, 'f1': 0.4558823529411764, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.13178294573643412, 'recall': 0.26153846153846155, 'f1': 0.1752577319587629, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.14864864864864866, 'recall': 0.16666666666666666, 'f1': 0.15714285714285714, 'number': 66}"
