sentence,real_label,pred_label
['Related'],O,O
['to'],O,O
['the'],O,O
['foregoing'],O,O
"[',']",O,O
['at'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['DuPont'],O,O
['has'],O,O
['recorded'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['a'],O,O
['liability'],O,O
['of'],O,O
['$'],O,O
['33'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
['million'],O,O
['('],O,O
['although'],O,O
['it'],O,O
['is'],O,O
['reasonably'],O,O
['possible'],O,O
['that'],O,O
['the'],O,O
['ultimate'],O,O
['cost'],O,O
['could'],O,O
['range'],O,O
['up'],O,O
['to'],O,O
['$'],O,O
['112'],O,O
['million'],O,O
['above'],O,O
['the'],O,O
['amount'],O,O
['accrued'],O,O
[')'],O,O
['for'],O,O
['retained'],O,O
['or'],O,O
['assumed'],O,O
['environmental'],O,O
['liabilities'],O,O
"[',']",O,O
['('],O,O
['ii'],O,O
[')'],O,O
['a'],O,O
['liability'],O,O
['of'],O,O
['$'],O,O
['3'],O,O
['million'],O,O
['for'],O,O
['retained'],O,O
['or'],O,O
['assumed'],O,O
['litigation'],O,O
['liabilities'],O,O
"[',']",O,O
['and'],O,O
['('],O,O
['iii'],O,O
[')'],O,O
['an'],O,O
['indemnification'],O,O
['liability'],O,O
['related'],O,O
['to'],O,O
['legal'],O,O
['and'],O,O
['environmental'],O,O
['matters'],O,O
['of'],O,O
['$'],O,O
['58'],O,O
['million'],O,O
['.'],O,O
,,
['The'],O,O
['agreements'],O,O
['are'],O,O
['generally'],O,O
['7'],O,O
['-'],O,O
['year'],O,O
['terms'],O,O
['with'],O,O
['interest'],O,O
['rates'],O,O
['ranging'],O,O
['from'],O,O
['1.92'],I-DebtInstrumentInterestRateStatedPercentage,I-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
['to'],O,O
['5.04'],I-DebtInstrumentInterestRateStatedPercentage,I-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
['.'],O,O
,,
['We'],O,O
['recorded'],O,O
['an'],O,O
['$'],O,O
['11'],I-GainsLossesOnExtinguishmentOfDebt,I-GainsLossesOnExtinguishmentOfDebt
['million'],O,O
['loss'],O,O
['on'],O,O
['debt'],O,O
['extinguishment'],O,O
['within'],O,O
['interest'],O,O
['expense'],O,O
['and'],O,O
['a'],O,O
['$'],O,O
['5'],O,O
['million'],O,O
['reduction'],O,O
['in'],O,O
['accrued'],O,O
['interest'],O,O
['.'],O,O
,,
['Additionally'],O,O
"[',']",O,O
['as'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['noted'],O,O
['no'],I-GoodwillImpairmentLoss,I-GoodwillImpairmentLoss
['indicators'],O,O
['of'],O,O
['impairment'],O,O
['related'],O,O
['to'],O,O
['Symphony'],O,O
['’'],O,O
['s'],O,O
['$'],O,O
['37.2'],O,O
['million'],O,O
['of'],O,O
