sentence,real_label,pred_label
['The'],O,O
['changes'],O,O
['in'],O,O
['the'],O,O
['valuation'],O,O
['allowance'],O,O
['associated'],O,O
['with'],O,O
['impaired'],O,O
['commercial'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
['were'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['Additional'],O,O
['information'],O,O
['related'],O,O
['to'],O,O
['impaired'],O,O
['commercial'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
['was'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['We'],O,O
['use'],O,O
['the'],O,O
['loan'],O,O
['-'],O,O
['to'],O,O
['-'],O,O
['value'],O,O
['and'],O,O
['debt'],O,O
['-'],O,O
['service'],O,O
['coverage'],O,O
['ratios'],O,O
['as'],O,O
['credit'],O,O
['quality'],O,O
['indicators'],O,O
['for'],O,O
['our'],O,O
['commercial'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['('],O,O
['dollars'],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['We'],O,O
['use'],O,O
['loan'],O,O
['performance'],O,O
['status'],O,O
['as'],O,O
['the'],O,O
['primary'],O,O
['credit'],O,O
['quality'],O,O
['indicator'],O,O
['for'],O,O
['our'],O,O
['residential'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['('],O,O
['dollars'],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['Our'],O,O
['commercial'],O,O
['mortgage'],O,O
['loan'],O,O
['portfolio'],O,O
['is'],O,O
['geographically'],O,O
['diversified'],O,O
['throughout'],O,O
['the'],O,O
['U.S.'],O,O
['with'],O,O
['the'],O,O
['largest'],O,O
['concentrations'],O,O
['in'],O,O
['California'],O,O
"[',']",O,O
['which'],O,O
['accounted'],O,O
['for'],O,O
['23'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['commercial'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['as'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['and'],O,O
['Texas'],O,O
"[',']",O,O
['which'],O,O
['accounted'],O,O
['for'],O,O
['12'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['commercial'],O,O
['mortgage'],O,O
['loans'],O,O
['on'],O,O
['real'],O,O
['estate'],O,O
['as'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['.'],O,O
,,
['Segment'],O,O
['Information'],O,O
['('],O,O
['continued'],O,O
[')'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['total'],O,O
['assets'],O,O
['with'],O,O
['respect'],O,O
