sentence,real_label,pred_label
['The'],O,O
['Company'],O,O
['completed'],O,O
['its'],O,O
['initial'],O,O
['accounting'],O,O
['of'],O,O
['this'],O,O
['business'],O,O
['combination'],O,O
['as'],O,O
['the'],O,O
['valuation'],O,O
['of'],O,O
['the'],O,O
['real'],O,O
['and'],O,O
['personal'],O,O
['property'],O,O
['was'],O,O
['finalized'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2016'],O,O
['.'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['summarizes'],O,O
['the'],O,O
['consideration'],O,O
['paid'],O,O
['for'],O,O
['the'],O,O
['acquisition'],O,O
['from'],O,O
['Sanimax'],O,O
['Energy'],O,O
[':'],O,O
['64'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['the'],O,O
"['500,000']",B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['shares'],O,O
['of'],O,O
['Common'],O,O
['Stock'],O,O
['issued'],O,O
['was'],O,O
['determined'],O,O
['using'],O,O
['the'],O,O
['closing'],O,O
['market'],O,O
['price'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['common'],O,O
['shares'],O,O
['at'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['acquisition'],O,O
['.'],O,O
,,
['On'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['acquired'],O,O
['100'],B-BusinessAcquisitionPercentageOfVotingInterestsAcquired,B-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['%'],O,O
['of'],O,O
['the'],O,O
['capital'],O,O
['stock'],O,O
['of'],O,O
['Transportadora'],O,O
['de'],O,O
['Valores'],O,O
['del'],O,O
['Sur'],O,O
['Limitada'],O,O
['and'],O,O
['its'],O,O
['wholly'],O,O
['owned'],O,O
['subsidiary'],O,O
"[',']",O,O
['TVS'],O,O
['Pagos'],O,O
"[',']",O,O
['Recaudos'],O,O
['y'],O,O
['Procesos'],O,O
['S.A.S.'],O,O
,,
['The'],O,O
['Company'],O,O
['acquired'],O,O
['one'],B-BusinessAcquisitionPercentageOfVotingInterestsAcquired,B-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['hundred'],I-BusinessAcquisitionPercentageOfVotingInterestsAcquired,I-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['percent'],O,O
['of'],O,O
['Interface'],O,O
['for'],O,O
['an'],O,O
['initial'],O,O
['price'],O,O
['of'],O,O
['$'],O,O
['268.4'],O,O
['million'],O,O
"[',']",O,O
['net'],O,O
['of'],O,O
['cash'],O,O
['acquired'],O,O
['of'],O,O
['$'],O,O
['5.2'],O,O
['million'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['acquired'],O,O
['Tropicana'],O,O
['’'],O,O
['s'],O,O
['operations'],O,O
['and'],O,O
['certain'],O,O
['real'],O,O
['estate'],O,O
['for'],O,O
['$'],O,O
['927.3'],B-BusinessCombinationConsiderationTransferred1,B-BusinessCombinationConsiderationTransferred1
['million'],O,O
['.'],O,O
,,
['The'],O,O
['Purchaser'],O,O
['paid'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['15,000']",B-PaymentsToAcquireBusinessesGross,B-PaymentsToAcquireBusinessesGross
['GBP'],O,O
"[',']",O,O
['or'],O,O
['approximately'],O,O
['$'],O,O
"['19,139']",B-PaymentsToAcquireBusinessesGross,B-PaymentsToAcquireBusinessesGross
"[',']",O,O
['to'],O,O
['acquire'],O,O
['the'],O,O
['business'],O,O
"[',']",O,O
['inclusive'],O,O
['of'],O,O
"['1,000']",B-PaymentsToAcquireBusinessesGross,B-PaymentsToAcquireBusinessesGross
['GBP'],O,O
"[',']",O,O
['or'],O,O
['approximately'],O,O
['$'],O,O
"['1,276']",B-PaymentsToAcquireBusinessesGross,B-PaymentsToAcquireBusinessesGross
"[',']",O,O
['being'],O,O
['held'],O,O
['in'],O,O
['escrow'],O,O
['to'],O,O
['secure'],O,O
['post'],O,O
['-'],O,O
['closing'],O,O
['claims'],O,O
"[',']",O,O
['subject'],O,O
['to'],O,O
['the'],O,O
['terms'],O,O
['and'],O,O
['conditions'],O,O
['of'],O,O
['an'],O,O
['escrow'],O,O
['agreement'],O,O
['between'],O,O
['the'],O,O
['Purchaser'],O,O
['and'],O,O
['the'],O,O
['Seller'],O,O
['.'],O,O
