sentence,real_label,pred_label
['The'],O,O
['other'],O,O
['intangibles'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['acquisition'],O,O
['are'],O,O
['being'],O,O
['amortized'],O,O
['on'],O,O
['a'],O,O
['straight'],O,O
['-'],O,O
['line'],O,O
['basis'],O,O
['over'],O,O
['10'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['.'],O,O
,,
['These'],O,O
['membership'],O,O
['assets'],O,O
['are'],O,O
['recorded'],O,O
['within'],O,O
['other'],O,O
['intangible'],O,O
['assets'],O,O
"[',']",O,O
['net'],O,O
['in'],O,O
['the'],O,O
['condensed'],O,O
['consolidated'],O,O
['balance'],O,O
['sheets'],O,O
['as'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['and'],O,O
['have'],O,O
['a'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['eight'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['beginning'],O,O
['in'],O,O
['2020'],O,O
['.'],O,O
,,
['The'],O,O
['acquired'],O,O
['intangible'],O,O
['assets'],O,O
['have'],O,O
['a'],O,O
['weighted'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['approximately'],O,O
['14'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recognized'],O,O
['goodwill'],O,O
['of'],O,O
['$'],O,O
['210'],B-Goodwill,B-Goodwill
['('],O,O
['$'],O,O
['173'],O,O
['of'],O,O
['which'],O,O
['is'],O,O
['expected'],O,O
['to'],O,O
['be'],O,O
['tax'],O,O
['deductible'],O,O
[')'],O,O
['and'],O,O
['other'],O,O
['identifiable'],O,O
['intangible'],O,O
['assets'],O,O
['of'],O,O
['$'],O,O
['155'],B-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,B-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill
"[',']",O,O
['primarily'],O,O
['customer'],O,O
['relationships'],O,O
['and'],O,O
['intellectual'],O,O
['property'],O,O
['with'],O,O
['a'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['life'],O,O
['of'],O,O
['approximately'],O,O
['nine'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['.'],O,O
,,
['These'],O,O
['acquired'],O,O
['intangible'],O,O
['assets'],O,O
['are'],O,O
['being'],O,O
['amortized'],O,O
['to'],O,O
['cost'],O,O
['of'],O,O
['product'],O,O
['revenue'],O,O
['over'],O,O
['their'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['ten'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['.'],O,O
,,
['In'],O,O
['allocating'],O,O
['the'],O,O
['aggregate'],O,O
['purchase'],O,O
['price'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['estimated'],O,O
['fair'],O,O
['value'],O,O
"[',']",O,O
['we'],O,O
['recorded'],O,O
['a'],O,O
['total'],O,O
['of'],O,O
['$'],O,O
['12.8'],B-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,B-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles
['million'],O,O
['of'],O,O
['developed'],O,O
['technology'],O,O
['intangible'],O,O
['assets'],O,O
['('],O,O
['to'],O,O
['be'],O,O
['amortized'],O,O
['over'],O,O
['estimated'],O,O
['useful'],O,O
['lives'],O,O
['of'],O,O
['five'],O,O
['to'],O,O
['six'],B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,B-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
[')'],O,O
"[',']",O,O
['$'],O,O
['4.9'],O,O
['million'],O,O
['of'],O,O
['deferred'],O,O
['tax'],O,O
['liabilities'],O,O
['and'],O,O
