sentence,real_label,pred_label
"[""'s""]",O,O
['prime'],O,O
['rate'],O,O
"[',']",O,O
['('],O,O
['ii'],O,O
[')'],O,O
['the'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['Adjusted'],O,O
['Eurodollar'],O,O
['Rate'],O,O
['('],O,O
['as'],O,O
['defined'],O,O
['in'],O,O
['the'],O,O
['Eureka'],O,O
['Credit'],O,O
['Facility'],O,O
['credit'],O,O
['agreement'],O,O
[')'],O,O
['plus'],O,O
['1.0'],B-DebtInstrumentBasisSpreadOnVariableRate1,B-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['or'],O,O
['('],O,O
['iii'],O,O
[')'],O,O
['the'],O,O
['Federal'],O,O
['Funds'],O,O
['effective'],O,O
['rate'],O,O
['plus'],O,O
['0.5'],B-DebtInstrumentBasisSpreadOnVariableRate1,B-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['per'],O,O
['annum'],O,O
[';'],O,O
['plus'],O,O
['the'],O,O
['Applicable'],O,O
['Margin'],O,O
"[',']",O,O
['as'],O,O
['described'],O,O
['below'],O,O
['.'],O,O
,,
['In'],O,O
['addition'],O,O
"[',']",O,O
['our'],O,O
['equity'],O,O
['-'],O,O
['linked'],O,O
['notes'],O,O
['with'],O,O
['a'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['$'],O,O
['23.3'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['million'],O,O
['matured'],O,O
['on'],O,O
['December'],O,O
['7'],O,O
"[',']",O,O
['2017'],O,O
['.'],O,O
,,
['At'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['outstanding'],O,O
['letters'],O,O
['of'],O,O
['credit'],O,O
['totaling'],O,O
['$'],O,O
['1.5'],B-LettersOfCreditOutstandingAmount,B-LettersOfCreditOutstandingAmount
['million'],O,O
"[',']",O,O
['which'],O,O
['are'],O,O
['primarily'],O,O
['used'],O,O
['as'],O,O
['security'],O,O
['deposits'],O,O
['for'],O,O
['our'],O,O
['office'],O,O
['facilities'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['$'],O,O
['21.7'],B-LineOfCredit,B-LineOfCredit
['million'],O,O
['and'],O,O
['$'],O,O
['29.2'],B-LineOfCredit,B-LineOfCredit
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['has'],O,O
['been'],O,O
['drawn'],O,O
['on'],O,O
['this'],O,O
['Second'],O,O
['Amended'],O,O
['and'],O,O
['Restated'],O,O
['Loan'],O,O
['and'],O,O
['Security'],O,O
['Agreement'],O,O
['.'],O,O
,,
['We'],O,O
['are'],O,O
['required'],O,O
['to'],O,O
['pay'],O,O
['quarterly'],O,O
['in'],O,O
['arrears'],O,O
['a'],O,O
['12.5'],B-LineOfCreditFacilityCommitmentFeePercentage,B-LineOfCreditFacilityCommitmentFeePercentage
['to'],O,O
['30'],B-LineOfCreditFacilityCommitmentFeePercentage,B-LineOfCreditFacilityCommitmentFeePercentage
['basis'],O,O
['point'],O,O
['facility'],O,O
['fee'],O,O
['on'],O,O
['the'],O,O
['total'],O,O
['commitments'],O,O
['under'],O,O
['the'],O,O
['revolving'],O,O
['credit'],O,O
['facility'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['credit'],O,O
['rating'],O,O
['assigned'],O,O
['to'],O,O
['the'],O,O
['senior'],O,O
['unsecured'],O,O
['long'],O,O
['term'],O,O
['indebtedness'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['.'],O,O
,,
['11'],O,O
['7'],O,O
['.'],O,O
['Long'],O,O
['-'],O,O
['Term'],O,O
['Debt'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['summarizes'],O,O
['our'],O,O
['debt'],O,O
['obligations'],O,O
['as'],O,O
['of'],O,O
['the'],O,O
['dates'],O,O
['presented'],O,O
[':'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['_'],O,O
['1'],O,O
['Issuance'],O,O
['costs'],O,O
['of'],O,O
['the'],O,O
['Credit'],O,O
['Facility'],O,O
"[',']",O,O
['which'],O,O
['represent'],O,O
['costs'],O,O
['attributable'],O,O
['to'],O,O
['the'],O,O
['access'],O,O
['to'],O,O
['credit'],O,O
['over'],O,O
['its'],O,O
['contractual'],O,O
['term'],O,O
"[',']",O,O
['have'],O,O
['been'],O,O
['presented'],O,O
['as'],O,O
['a'],O,O
['component'],O,O
['of'],O,O
['Other'],O,O
['assets'],O,O
['('],O,O
['see'],O,O
['Note'],O,O
['10'],O,O
[')'],O,O
['and'],O,O
['are'],O,O
['being'],O,O
['amortized'],O,O
['over'],O,O
['the'],O,O
['term'],O,O
['of'],O,O
['the'],O,O
['Credit'],O,O
['Facility'],O,O
['using'],O,O
['the'],O,O
['straight'],O,O
['-'],O,O
['line'],O,O
['method'],O,O
['.'],O,O
['2'],O,O
['Discount'],O,O
['and'],O,O
['issuance'],O,O
['costs'],O,O
['of'],O,O
['the'],O,O
['Second'],O,O
