sentence,real_label,pred_label
['The'],O,O
['Utility'],O,O
['’'],O,O
['s'],O,O
['undiscounted'],O,O
['future'],O,O
['costs'],O,O
['associated'],O,O
['with'],O,O
['fossil'],O,O
['fuel'],O,O
['-'],O,O
['fired'],O,O
['generation'],O,O
['sites'],O,O
['may'],O,O
['increase'],O,O
['by'],O,O
['as'],O,O
['much'],O,O
['as'],O,O
['$'],O,O
['80'],B-AccrualForEnvironmentalLossContingencies,B-AccrualForEnvironmentalLossContingencies
['million'],O,O
['if'],O,O
['the'],O,O
['extent'],O,O
['of'],O,O
['contamination'],O,O
['or'],O,O
['necessary'],O,O
['remediation'],O,O
['is'],O,O
['greater'],O,O
['than'],O,O
['anticipated'],O,O
['.'],O,O
,,
['This'],O,O
['loan'],O,O
['currently'],O,O
['bears'],O,O
['interest'],O,O
['at'],O,O
['4.4'],B-DebtInstrumentInterestRateStatedPercentage,B-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
"[',']",O,O
['with'],O,O
['a'],O,O
['default'],O,O
['interest'],O,O
['rate'],O,O
['of'],O,O
['an'],O,O
['additional'],O,O
['5.0'],O,O
['%'],O,O
"[',']",O,O
['and'],O,O
['is'],O,O
['collateralized'],O,O
['by'],O,O
['the'],O,O
['six'],O,O
['properties'],O,O
"[',']",O,O
['which'],O,O
['we'],O,O
['wholly'],O,O
['-'],O,O
['own'],O,O
['.'],O,O
,,
['Snap'],O,O
['-'],O,O
['on'],O,O
['recorded'],O,O
['$'],O,O
['7.8'],B-GainsLossesOnExtinguishmentOfDebt,B-GainsLossesOnExtinguishmentOfDebt
['million'],O,O
['for'],O,O
['the'],O,O
['loss'],O,O
['on'],O,O
['the'],O,O
['early'],O,O
['extinguishment'],O,O
['of'],O,O
['debt'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['2019'],O,O
['Notes'],O,O
"[',']",O,O
['which'],O,O
['included'],O,O
['the'],O,O
['redemption'],O,O
['premium'],O,O
['and'],O,O
['other'],O,O
['issuance'],O,O
['costs'],O,O
['associated'],O,O
['with'],O,O
['this'],O,O
['debt'],O,O
['in'],O,O
['“'],O,O
['Other'],O,O
['income'],O,O
['('],O,O
['expense'],O,O
[')'],O,O
['-'],O,O
['net'],O,O
['”'],O,O
['on'],O,O
['the'],O,O
['accompanying'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statement'],O,O
['of'],O,O
['Earnings'],O,O
['.'],O,O
,,
['There'],O,O
['were'],O,O
['no'],B-GoodwillImpairmentLoss,B-GoodwillImpairmentLoss
['impairment'],O,O
['charges'],O,O
['recorded'],O,O
['in'],O,O
['2016'],O,O
['or'],O,O
['the'],O,O
['first'],O,O
