sentence,real_label,pred_label
['In'],O,O
['the'],O,O
['first'],O,O
['six'],O,O
['months'],O,O
['of'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recorded'],O,O
['interest'],O,O
['expense'],O,O
['on'],O,O
['the'],O,O
['Notes'],O,O
['of'],O,O
['$'],O,O
['7.2'],I-InterestExpenseDebt,I-InterestExpenseDebt
['million'],O,O
['which'],O,O
['consisted'],O,O
['of'],O,O
['$'],O,O
['0.9'],O,O
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['0.625'],O,O
['%'],O,O
['coupon'],O,O
['rate'],O,O
"[',']",O,O
['$'],O,O
['5.6'],O,O
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['accretion'],O,O
['of'],O,O
['the'],O,O
['debt'],O,O
['discount'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['0.7'],I-AmortizationOfFinancingCosts,I-AmortizationOfFinancingCosts
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['amortization'],O,O
['of'],O,O
['the'],O,O
['debt'],O,O
['issuance'],O,O
['costs'],O,O
['.'],O,O
,,
['80'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['Amortization'],O,O
['expense'],O,O
['related'],O,O
['to'],O,O
['definite'],O,O
['-'],O,O
['lived'],O,O
['intangible'],O,O
['assets'],O,O
['was'],O,O
['$'],O,O
['14.7'],I-AmortizationOfIntangibleAssets,I-AmortizationOfIntangibleAssets
['million'],O,O
"[',']",O,O
['$'],O,O
['1.8'],I-AmortizationOfIntangibleAssets,I-AmortizationOfIntangibleAssets
['million'],O,O
['and'],O,O
['$'],O,O
['3.9'],I-AmortizationOfIntangibleAssets,I-AmortizationOfIntangibleAssets
['million'],O,O
['for'],O,O
['fiscal'],O,O
['years'],O,O
['2019'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['2017'],O,O
['.'],O,O
,,
['Contract'],O,O
['Acquisition'],O,O
['and'],O,O
['Fulfillment'],O,O
['Costs'],O,O
['Unamortized'],O,O
['contract'],O,O
['acquisition'],O,O
['costs'],O,O
