sentence,real_label,pred_label
['Related'],O,O
['to'],O,O
['the'],O,O
['foregoing'],O,O
"[',']",O,O
['at'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['DuPont'],O,O
['has'],O,O
['recorded'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['a'],O,O
['liability'],O,O
['of'],O,O
['$'],O,O
['33'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
['million'],O,O
['('],O,O
['although'],O,O
['it'],O,O
['is'],O,O
['reasonably'],O,O
['possible'],O,O
['that'],O,O
['the'],O,O
['ultimate'],O,O
['cost'],O,O
['could'],O,O
['range'],O,O
['up'],O,O
['to'],O,O
['$'],O,O
['112'],O,O
['million'],O,O
['above'],O,O
['the'],O,O
['amount'],O,O
['accrued'],O,O
[')'],O,O
['for'],O,O
['retained'],O,O
['or'],O,O
['assumed'],O,O
['environmental'],O,O
['liabilities'],O,O
"[',']",O,O
['('],O,O
['ii'],O,O
[')'],O,O
['a'],O,O
['liability'],O,O
['of'],O,O
['$'],O,O
['3'],O,O
['million'],O,O
['for'],O,O
['retained'],O,O
['or'],O,O
['assumed'],O,O
['litigation'],O,O
['liabilities'],O,O
"[',']",O,O
['and'],O,O
['('],O,O
['iii'],O,O
[')'],O,O
['an'],O,O
['indemnification'],O,O
['liability'],O,O
['related'],O,O
['to'],O,O
['legal'],O,O
['and'],O,O
['environmental'],O,O
['matters'],O,O
['of'],O,O
['$'],O,O
['58'],O,O
['million'],O,O
['.'],O,O
,,
['The'],O,O
['total'],O,O
['accrued'],O,O
['liability'],O,O
['for'],O,O
['these'],O,O
['projects'],O,O
['at'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['was'],O,O
['approximately'],O,O
['$'],O,O
['4'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
['million'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['Consolidated'],O,O
['Balance'],O,O
['Sheets'],O,O
['as'],O,O
['of'],O,O
['November'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['reflects'],O,O
['reserves'],O,O
['for'],O,O
['environmental'],O,O
['remediation'],O,O
['of'],O,O
['$'],O,O
['1.4'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
['million'],O,O
['and'],O,O
['$'],O,O
['1.5'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['At'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['accrued'],O,O
['liabilities'],O,O
['for'],O,O
['remediation'],O,O
['totaled'],O,O
['$'],O,O
['16'],I-AccrualForEnvironmentalLossContingencies,I-AccrualForEnvironmentalLossContingencies
