,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.45454545454545453, 'recall': 0.03546099290780142, 'f1': 0.06578947368421054, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.92, 'recall': 0.11616161616161616, 'f1': 0.20627802690582958, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.3869346733668342, 'recall': 0.5384615384615384, 'f1': 0.4502923976608187, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.22018348623853212, 'recall': 0.1935483870967742, 'f1': 0.20600858369098712, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.5, 'recall': 0.017857142857142856, 'f1': 0.03448275862068965, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.171875, 'recall': 0.1111111111111111, 'f1': 0.13496932515337423, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.18627450980392157, 'recall': 0.18446601941747573, 'f1': 0.18536585365853658, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.2777777777777778, 'recall': 0.03333333333333333, 'f1': 0.05952380952380952, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.164021164021164, 'recall': 0.3924050632911392, 'f1': 0.23134328358208955, 'number': 79}"
SharePrice,"{'precision': 0.13636363636363635, 'recall': 0.031578947368421054, 'f1': 0.05128205128205129, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.31451612903225806, 'recall': 0.21428571428571427, 'f1': 0.25490196078431376, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 1.0, 'recall': 0.008620689655172414, 'f1': 0.017094017094017096, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.125, 'recall': 0.009900990099009901, 'f1': 0.018348623853211007, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.11764705882352941, 'recall': 0.01652892561983471, 'f1': 0.028985507246376812, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.26004228329809725, 'recall': 0.5747663551401869, 'f1': 0.35807860262008734, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.11529933481152993, 'recall': 0.4444444444444444, 'f1': 0.18309859154929578, 'number': 117}"
overall_precision,0.22955288985823338
overall_recall,0.1535375638220277
overall_f1,0.18400349650349654
overall_accuracy,0.9706762663923888
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.711864406779661, 'recall': 0.2978723404255319, 'f1': 0.42, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8785046728971962, 'recall': 0.9494949494949495, 'f1': 0.912621359223301, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.6190476190476191, 'recall': 0.9090909090909091, 'f1': 0.7365439093484419, 'number': 143}"
