,0
ConcentrationRiskPercentage1,"{'precision': 0.9574468085106383, 'recall': 0.06726457399103139, 'f1': 0.12569832402234635, 'number': 669}"
EffectiveIncomeTaxRateContinuingOperations,"{'precision': 0.9703153988868275, 'recall': 0.6872536136662286, 'f1': 0.8046153846153847, 'number': 761}"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,"{'precision': 0.3698630136986301, 'recall': 0.16071428571428573, 'f1': 0.22406639004149378, 'number': 168}"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"{'precision': 0.16666666666666666, 'recall': 0.421875, 'f1': 0.23893805309734514, 'number': 64}"
IncomeTaxExpenseBenefit,"{'precision': 0.8706896551724138, 'recall': 0.20321931589537223, 'f1': 0.32952691680261015, 'number': 497}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.7295081967213115, 'recall': 0.4529262086513995, 'f1': 0.5588697017268446, 'number': 393}"
RevenueFromContractWithCustomerIncludingAssessedTax,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 78}"
UnrecognizedTaxBenefits,"{'precision': 0.17880794701986755, 'recall': 0.15428571428571428, 'f1': 0.1656441717791411, 'number': 175}"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"{'precision': 0.23225806451612904, 'recall': 0.43373493975903615, 'f1': 0.3025210084033614, 'number': 83}"
overall_precision,0.648285137861466
overall_recall,0.3337950138504155
overall_f1,0.44068571428571424
overall_accuracy,0.9736151072357427
,
ConcentrationRiskPercentage1,"{'precision': 0.9458483754512635, 'recall': 0.7832585949177877, 'f1': 0.8569092395748161, 'number': 669}"
EffectiveIncomeTaxRateContinuingOperations,"{'precision': 0.9661016949152542, 'recall': 0.7490144546649146, 'f1': 0.843819393042191, 'number': 761}"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,"{'precision': 0.44672131147540983, 'recall': 0.6488095238095238, 'f1': 0.529126213592233, 'number': 168}"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"{'precision': 0.25517241379310346, 'recall': 0.578125, 'f1': 0.35406698564593303, 'number': 64}"
IncomeTaxExpenseBenefit,"{'precision': 0.8125, 'recall': 0.6277665995975855, 'f1': 0.7082860385925084, 'number': 497}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.74609375, 'recall': 0.4860050890585242, 'f1': 0.5885978428351311, 'number': 393}"
