,0
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.6893617021276596, 'recall': 0.8950276243093923, 'f1': 0.7788461538461539, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.898989898989899, 'recall': 0.5235294117647059, 'f1': 0.6617100371747211, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.6990291262135923, 'recall': 0.5581395348837209, 'f1': 0.6206896551724137, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.3181818181818182, 'recall': 0.025, 'f1': 0.046357615894039736, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.2222222222222222, 'recall': 0.03636363636363636, 'f1': 0.0625, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.19767441860465115, 'recall': 0.5151515151515151, 'f1': 0.2857142857142857, 'number': 66}"
Goodwill,"{'precision': 0.3475609756097561, 'recall': 0.8990536277602523, 'f1': 0.5013192612137204, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.40671641791044777, 'recall': 0.46382978723404256, 'f1': 0.4333996023856859, 'number': 235}"
overall_precision,0.4373211219232971
overall_recall,0.47512437810945274
overall_f1,0.45543964232488826
overall_accuracy,0.978108060849799
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.7815533980582524, 'recall': 0.8895027624309392, 'f1': 0.8320413436692506, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.831081081081081, 'recall': 0.7235294117647059, 'f1': 0.7735849056603773, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.8461538461538461, 'recall': 0.5968992248062015, 'f1': 0.7, 'number': 129}"
