,0
AllocatedShareBasedCompensationExpense,"{'precision': 0.9165120593692022, 'recall': 0.6508563899868248, 'f1': 0.7611710323574731, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.7562724014336918, 'recall': 0.44798301486199577, 'f1': 0.5626666666666666, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.16666666666666666, 'recall': 0.004975124378109453, 'f1': 0.00966183574879227, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.6428571428571429, 'recall': 0.17647058823529413, 'f1': 0.27692307692307694, 'number': 561}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"{'precision': 0.21753986332574032, 'recall': 0.9744897959183674, 'f1': 0.3556797020484171, 'number': 196}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"{'precision': 0.09259259259259259, 'recall': 0.06578947368421052, 'f1': 0.07692307692307691, 'number': 76}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"{'precision': 0.15789473684210525, 'recall': 0.024793388429752067, 'f1': 0.04285714285714286, 'number': 121}"
overall_precision,0.5112016293279023
overall_recall,0.3891472868217054
overall_f1,0.4419014084507042
overall_accuracy,0.976647126669124
,
AllocatedShareBasedCompensationExpense,"{'precision': 0.942457231726283, 'recall': 0.7984189723320159, 'f1': 0.8644793152639088, 'number': 759}"
