,0
AccrualForEnvironmentalLossContingencies,"{'precision': 1.0, 'recall': 0.005, 'f1': 0.009950248756218907, 'number': 200}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.7542857142857143, 'recall': 0.07244785949506037, 'f1': 0.13219829744616926, 'number': 1822}"
GainsLossesOnExtinguishmentOfDebt,"{'precision': 0.5375, 'recall': 0.6013986013986014, 'f1': 0.5676567656765676, 'number': 143}"
GoodwillImpairmentLoss,"{'precision': 0.36363636363636365, 'recall': 0.035555555555555556, 'f1': 0.06477732793522267, 'number': 225}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.08943089430894309, 'recall': 0.09322033898305085, 'f1': 0.0912863070539419, 'number': 118}"
LossContingencyAccrualAtCarryingValue,"{'precision': 0.34265734265734266, 'recall': 0.23671497584541062, 'f1': 0.27999999999999997, 'number': 207}"
LossContingencyDamagesSoughtValue,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 124}"
LossContingencyEstimateOfPossibleLoss,"{'precision': 0.16666666666666666, 'recall': 0.018691588785046728, 'f1': 0.03361344537815126, 'number': 214}"
LossContingencyPendingClaimsNumber,"{'precision': 0.1891891891891892, 'recall': 0.1590909090909091, 'f1': 0.1728395061728395, 'number': 132}"
OperatingLossCarryforwards,"{'precision': 0.007246376811594203, 'recall': 0.021739130434782608, 'f1': 0.010869565217391304, 'number': 46}"
overall_precision,0.3477777777777778
overall_recall,0.09687403280718045
overall_f1,0.1515371580731058
overall_accuracy,0.9743980941347322
,
AccrualForEnvironmentalLossContingencies,"{'precision': 0.7424242424242424, 'recall': 0.49, 'f1': 0.5903614457831325, 'number': 200}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.7983281086729362, 'recall': 0.41931942919868276, 'f1': 0.5498380712486506, 'number': 1822}"
GainsLossesOnExtinguishmentOfDebt,"{'precision': 0.4657039711191336, 'recall': 0.9020979020979021, 'f1': 0.6142857142857143, 'number': 143}"
GoodwillImpairmentLoss,"{'precision': 0.5137614678899083, 'recall': 0.24888888888888888, 'f1': 0.33532934131736525, 'number': 225}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.35, 'recall': 0.3559322033898305, 'f1': 0.3529411764705882, 'number': 118}"
LossContingencyAccrualAtCarryingValue,"{'precision': 0.37593984962406013, 'recall': 0.24154589371980675, 'f1': 0.29411764705882354, 'number': 207}"
LossContingencyDamagesSoughtValue,"{'precision': 0.40476190476190477, 'recall': 0.4112903225806452, 'f1': 0.40800000000000003, 'number': 124}"
LossContingencyEstimateOfPossibleLoss,"{'precision': 0.31, 'recall': 0.43457943925233644, 'f1': 0.3618677042801557, 'number': 214}"
LossContingencyPendingClaimsNumber,"{'precision': 0.34408602150537637, 'recall': 0.24242424242424243, 'f1': 0.2844444444444445, 'number': 132}"
OperatingLossCarryforwards,"{'precision': 0.390625, 'recall': 0.5434782608695652, 'f1': 0.45454545454545453, 'number': 46}"
overall_precision,0.5798355690177412
overall_recall,0.41473228102754567
overall_f1,0.48357993504150126
overall_accuracy,0.9806476352095554
,
AccrualForEnvironmentalLossContingencies,"{'precision': 0.7664233576642335, 'recall': 0.525, 'f1': 0.6231454005934718, 'number': 200}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.8766588602654176, 'recall': 0.6163556531284303, 'f1': 0.7238156622623267, 'number': 1822}"
GainsLossesOnExtinguishmentOfDebt,"{'precision': 0.5663716814159292, 'recall': 0.8951048951048951, 'f1': 0.6937669376693767, 'number': 143}"
GoodwillImpairmentLoss,"{'precision': 0.7361111111111112, 'recall': 0.7066666666666667, 'f1': 0.7210884353741497, 'number': 225}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.5772357723577236, 'recall': 0.6016949152542372, 'f1': 0.5892116182572613, 'number': 118}"
LossContingencyAccrualAtCarryingValue,"{'precision': 0.5106382978723404, 'recall': 0.34782608695652173, 'f1': 0.41379310344827586, 'number': 207}"
LossContingencyDamagesSoughtValue,"{'precision': 0.4782608695652174, 'recall': 0.532258064516129, 'f1': 0.5038167938931298, 'number': 124}"
LossContingencyEstimateOfPossibleLoss,"{'precision': 0.36328125, 'recall': 0.43457943925233644, 'f1': 0.3957446808510638, 'number': 214}"
LossContingencyPendingClaimsNumber,"{'precision': 0.6136363636363636, 'recall': 0.4090909090909091, 'f1': 0.49090909090909096, 'number': 132}"
OperatingLossCarryforwards,"{'precision': 0.6341463414634146, 'recall': 0.5652173913043478, 'f1': 0.5977011494252873, 'number': 46}"
overall_precision,0.7166603702304496
overall_recall,0.5871247291860106
overall_f1,0.645457638652603
overall_accuracy,0.985820231869396
,
AccrualForEnvironmentalLossContingencies,"{'precision': 0.7525773195876289, 'recall': 0.73, 'f1': 0.7411167512690355, 'number': 200}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.8660049627791563, 'recall': 0.7661909989023051, 'f1': 0.8130460104834012, 'number': 1822}"
