,0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.5686274509803921, 'recall': 0.26126126126126126, 'f1': 0.3580246913580247, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.12857142857142856, 'recall': 0.25, 'f1': 0.16981132075471697, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.29015544041450775, 'recall': 0.4827586206896552, 'f1': 0.3624595469255663, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.47619047619047616, 'recall': 0.4954954954954955, 'f1': 0.4856512141280353, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.32978723404255317, 'recall': 0.4492753623188406, 'f1': 0.3803680981595092, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.26666666666666666, 'recall': 0.07692307692307693, 'f1': 0.11940298507462686, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.5192307692307693, 'recall': 0.15083798882681565, 'f1': 0.2337662337662338, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.3395348837209302, 'recall': 0.35960591133004927, 'f1': 0.3492822966507177, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.580952380952381, 'recall': 0.5398230088495575, 'f1': 0.5596330275229359, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.5119617224880383, 'recall': 0.8991596638655462, 'f1': 0.6524390243902439, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.022222222222222223, 'recall': 0.038461538461538464, 'f1': 0.028169014084507043, 'number': 26}"
overall_precision,0.39092872570194387
overall_recall,0.3688858695652174
overall_f1,0.37958755679832223
overall_accuracy,0.9723017698699592
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.9, 'recall': 0.6486486486486487, 'f1': 0.7539267015706806, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.23076923076923078, 'recall': 0.16666666666666666, 'f1': 0.1935483870967742, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.6209677419354839, 'recall': 0.6637931034482759, 'f1': 0.6416666666666667, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.6693877551020408, 'recall': 0.7387387387387387, 'f1': 0.702355460385439, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.46099290780141844, 'recall': 0.47101449275362317, 'f1': 0.4659498207885304, 'number': 138}"
