sentence,real_label,pred_label
['Based'],O,O
['on'],O,O
['gross'],O,O
['book'],O,O
['value'],O,O
"[',']",O,O
['approximately'],O,O
['22.1'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['39.5'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['consolidated'],O,O
['real'],O,O
['estate'],O,O
['investments'],O,O
['were'],O,O
['seniors'],O,O
['housing'],O,O
['communities'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['triple'],O,O
['-'],O,O
['net'],O,O
['leased'],O,O
['properties'],O,O
['and'],O,O
['senior'],O,O
['living'],O,O
['operations'],O,O
['reportable'],O,O
['business'],O,O
['segments'],O,O
"[',']",O,O
['respectively'],O,O
['('],O,O
['excluding'],O,O
['properties'],O,O
['classified'],O,O
['as'],O,O
['held'],O,O
['for'],O,O
['sale'],O,O
['as'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
[')'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['July'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['January'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['assets'],O,O
['located'],O,O
['in'],O,O
['the'],O,O
['United'],O,O
['States'],O,O
['were'],O,O
['83'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['percent'],O,O
['and'],O,O
['84'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['percent'],O,O
['of'],O,O
['total'],O,O
['assets'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
['The'],O,O
['Company'],O,O
['is'],O,O
['also'],O,O
['exposed'],O,O
['to'],O,O
['concentrations'],O,O
['of'],O,O
['risk'],O,O
['in'],O,O
['its'],O,O
['strategic'],O,O
['investment'],O,O
['portfolio'],O,O
['.'],O,O
,,
['('],O,O
['2'],O,O
[')'],O,O
['During'],O,O
['the'],O,O
['three'],O,O
['-'],O,O
['month'],O,O
['period'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['52'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['the'],O,O
['revenues'],O,O
['earned'],O,O
['in'],O,O
['the'],O,O
['U.S.'],O,O
['Gulf'],O,O
['of'],O,O
['Mexico'],O,O
['were'],O,O
['attributable'],O,O
['to'],O,O
['our'],O,O
['Floaters'],O,O
['segment'],O,O
"[',']",O,O
['22'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['were'],O,O
['attributable'],O,O
['to'],O,O
['our'],O,O
['Jackups'],O,O
['segment'],O,O
['and'],O,O
['the'],O,O
['remaining'],O,O
['revenues'],O,O
['were'],O,O
['attributable'],O,O
['to'],O,O
['our'],O,O
['Other'],O,O
['segment'],O,O
['.'],O,O
,,
['In'],O,O
['addition'],O,O
"[',']",O,O
['as'],O,O
['of'],O,O
['February'],O,O
['29'],O,O
"[',']",O,O
['2020'],O,O
['and'],O,O
['February'],O,O
['28'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['approximately'],O,O
['54'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['48'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['of'],O,O
['our'],O,O
['gross'],O,O
['trade'],O,O
['receivables'],O,O
['were'],O,O
['due'],O,O
['from'],O,O
['our'],O,O
['five'],O,O
['top'],O,O
['customers'],O,O
['.'],O,O
['Foreign'],O,O
['currency'],O,O
['transactions'],O,O
['and'],O,O
['related'],O,O
['derivative'],O,O
['financial'],O,O
['instruments'],O,O
['The'],O,O
['U.S.'],O,O
['Dollar'],O,O
['is'],O,O
['the'],O,O
['functional'],O,O
['currency'],O,O
['for'],O,O
['the'],O,O
['Company'],O,O
['and'],O,O
['all'],O,O
['of'],O,O
['its'],O,O
['subsidiaries'],O,O
[';'],O,O
['therefore'],O,O
"[',']",O,O
['we'],O,O
['do'],O,O
['not'],O,O
['have'],O,O
['a'],O,O
['translation'],O,O
['adjustment'],O,O
['recorded'],O,O
['through'],O,O
['accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['income'],O,O
['.'],O,O
,,
['Also'],O,O
"[',']",O,O
['domestic'],O,O
['sales'],O,O
['account'],O,O
['for'],O,O
['95'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['total'],O,O
['net'],O,O
['sales'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['recognized'],O,O
['revenues'],O,O
['of'],O,O
['$'],O,O
['1.1'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['and'],O,O
['$'],O,O
['2.5'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['that'],O,O
['was'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['contract'],O,O
['liabilities'],O,O
['balance'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['recognized'],O,O
['revenue'],O,O
['of'],O,O
['$'],O,O
['320'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['and'],O,O
['$'],O,O
['901'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['that'],O,O
['was'],O,O
['previously'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['beginning'],O,O
['balance'],O,O
['of'],O,O
['contract'],O,O
['liabilities'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recognized'],O,O
['revenue'],O,O
['of'],O,O
['$'],O,O
['29.0'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['related'],O,O
['to'],O,O
['customer'],O,O
['payments'],O,O
['that'],O,O
['were'],O,O
['included'],O,O
['as'],O,O
['contract'],O,O
['liabilities'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['balance'],O,O
['sheet'],O,O
['as'],O,O
['of'],O,O
['July'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['period'],O,O
['ended'],O,O
['May'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['recognized'],O,O
['revenue'],O,O
['associated'],O,O
['with'],O,O
['contract'],O,O
['liabilities'],O,O
['of'],O,O
['approximately'],O,O
['$'],O,O
['35.1'],I-ContractWithCustomerLiabilityRevenueRecognized,I-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['that'],O,O
['were'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['contract'],O,O
['liabilities'],O,O
['balance'],O,O
