,0
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.3923444976076555, 'recall': 0.4530386740331492, 'f1': 0.4205128205128205, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.9064327485380117, 'recall': 0.9117647058823529, 'f1': 0.9090909090909091, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.5333333333333333, 'recall': 0.06201550387596899, 'f1': 0.1111111111111111, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.7275985663082437, 'recall': 0.725, 'f1': 0.7262969588550983, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.0625, 'recall': 0.012121212121212121, 'f1': 0.020304568527918784, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.15789473684210525, 'recall': 0.18181818181818182, 'f1': 0.16901408450704225, 'number': 66}"
Goodwill,"{'precision': 0.35640648011782033, 'recall': 0.7634069400630915, 'f1': 0.48594377510040165, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.60625, 'recall': 0.825531914893617, 'f1': 0.6990990990990991, 'number': 235}"
overall_precision,0.5042111173498035
overall_recall,0.5584577114427861
overall_f1,0.5299498377102391
overall_accuracy,0.9805735268403567
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.6569767441860465, 'recall': 0.6243093922651933, 'f1': 0.6402266288951841, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8835978835978836, 'recall': 0.9823529411764705, 'f1': 0.9303621169916434, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.9027777777777778, 'recall': 0.5038759689922481, 'f1': 0.6467661691542289, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.6576576576576577, 'recall': 0.7821428571428571, 'f1': 0.7145187601957586, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.36464088397790057, 'recall': 0.4, 'f1': 0.3815028901734104, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.3333333333333333, 'recall': 0.03076923076923077, 'f1': 0.056338028169014086, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.18433179723502305, 'recall': 0.6060606060606061, 'f1': 0.2826855123674912, 'number': 66}"
Goodwill,"{'precision': 0.7119565217391305, 'recall': 0.41324921135646686, 'f1': 0.5229540918163673, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.6130952380952381, 'recall': 0.8765957446808511, 'f1': 0.7215411558669003, 'number': 235}"
overall_precision,0.5970414201183432
overall_recall,0.6274875621890548
overall_f1,0.6118859915100061
overall_accuracy,0.9846476656758174
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.7401129943502824, 'recall': 0.7237569060773481, 'f1': 0.7318435754189945, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8776595744680851, 'recall': 0.9705882352941176, 'f1': 0.9217877094972067, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.7959183673469388, 'recall': 0.6046511627906976, 'f1': 0.6872246696035242, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.7832699619771863, 'recall': 0.7357142857142858, 'f1': 0.7587476979742174, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.47468354430379744, 'recall': 0.45454545454545453, 'f1': 0.4643962848297214, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.33766233766233766, 'recall': 0.4, 'f1': 0.36619718309859156, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.1452991452991453, 'recall': 0.25757575757575757, 'f1': 0.18579234972677594, 'number': 66}"
Goodwill,"{'precision': 0.7544642857142857, 'recall': 0.5331230283911672, 'f1': 0.6247689463955638, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.6568627450980392, 'recall': 0.8553191489361702, 'f1': 0.7430683918669131, 'number': 235}"
overall_precision,0.664179104477612
overall_recall,0.664179104477612
overall_f1,0.664179104477612
overall_accuracy,0.9864486798391328
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.7212121212121212, 'recall': 0.6574585635359116, 'f1': 0.6878612716763005, 'number': 181}"
