,0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.12, 'recall': 0.02702702702702703, 'f1': 0.04411764705882353, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.10218978102189781, 'recall': 0.3888888888888889, 'f1': 0.16184971098265896, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.23121387283236994, 'recall': 0.3448275862068966, 'f1': 0.2768166089965398, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.3475409836065574, 'recall': 0.4774774774774775, 'f1': 0.4022770398481974, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.5714285714285714, 'recall': 0.11594202898550725, 'f1': 0.19277108433734938, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.125, 'recall': 0.009615384615384616, 'f1': 0.01785714285714286, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.25, 'recall': 0.05027932960893855, 'f1': 0.08372093023255814, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.14285714285714285, 'recall': 0.009523809523809525, 'f1': 0.01785714285714286, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.29, 'recall': 0.2857142857142857, 'f1': 0.28784119106699757, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.7974683544303798, 'recall': 0.5575221238938053, 'f1': 0.65625, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.6048387096774194, 'recall': 0.6302521008403361, 'f1': 0.6172839506172839, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.03821656050955414, 'recall': 0.23076923076923078, 'f1': 0.06557377049180328, 'number': 26}"
overall_precision,0.3064894448788116
overall_recall,0.266304347826087
overall_f1,0.2849872773536896
overall_accuracy,0.9669029623022394
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.7575757575757576, 'recall': 0.22522522522522523, 'f1': 0.3472222222222222, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.11428571428571428, 'recall': 0.2222222222222222, 'f1': 0.1509433962264151, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.45390070921985815, 'recall': 0.5517241379310345, 'f1': 0.49805447470817127, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.44396551724137934, 'recall': 0.46396396396396394, 'f1': 0.45374449339207046, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.5915492957746479, 'recall': 0.30434782608695654, 'f1': 0.40191387559808617, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.31746031746031744, 'recall': 0.38461538461538464, 'f1': 0.34782608695652173, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.6451612903225806, 'recall': 0.11173184357541899, 'f1': 0.1904761904761905, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.5892857142857143, 'recall': 0.3142857142857143, 'f1': 0.40993788819875776, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.4782608695652174, 'recall': 0.43349753694581283, 'f1': 0.45478036175710596, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.8333333333333334, 'recall': 0.8407079646017699, 'f1': 0.8370044052863437, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.7372262773722628, 'recall': 0.8487394957983193, 'f1': 0.7890625, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.1, 'recall': 0.38461538461538464, 'f1': 0.15873015873015872, 'number': 26}"
overall_precision,0.4857142857142857
overall_recall,0.4273097826086957
overall_f1,0.45464401879291655
overall_accuracy,0.9742500352096146
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.8732394366197183, 'recall': 0.5585585585585585, 'f1': 0.6813186813186813, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.16279069767441862, 'recall': 0.3888888888888889, 'f1': 0.2295081967213115, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.5401459854014599, 'recall': 0.6379310344827587, 'f1': 0.5849802371541503, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.46311475409836067, 'recall': 0.509009009009009, 'f1': 0.48497854077253216, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.6219512195121951, 'recall': 0.3695652173913043, 'f1': 0.4636363636363636, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.31333333333333335, 'recall': 0.4519230769230769, 'f1': 0.3700787401574803, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.573170731707317, 'recall': 0.26256983240223464, 'f1': 0.36015325670498083, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.675, 'recall': 0.5142857142857142, 'f1': 0.5837837837837838, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.5628415300546448, 'recall': 0.5073891625615764, 'f1': 0.533678756476684, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.853448275862069, 'recall': 0.8761061946902655, 'f1': 0.8646288209606987, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.796875, 'recall': 0.8571428571428571, 'f1': 0.8259109311740891, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.171875, 'recall': 0.4230769230769231, 'f1': 0.24444444444444444, 'number': 26}"
overall_precision,0.5460295151089248
overall_recall,0.5278532608695652
overall_f1,0.5367875647668393
overall_accuracy,0.9778648889723487
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.8736842105263158, 'recall': 0.7477477477477478, 'f1': 0.8058252427184467, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.2727272727272727, 'recall': 0.4166666666666667, 'f1': 0.3296703296703296, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.639344262295082, 'recall': 0.6724137931034483, 'f1': 0.6554621848739496, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.5780590717299579, 'recall': 0.6171171171171171, 'f1': 0.5969498910675382, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.7692307692307693, 'recall': 0.43478260869565216, 'f1': 0.5555555555555555, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.3803680981595092, 'recall': 0.5961538461538461, 'f1': 0.46441947565543074, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.6290322580645161, 'recall': 0.43575418994413406, 'f1': 0.5148514851485149, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.8863636363636364, 'recall': 0.7428571428571429, 'f1': 0.8082901554404146, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.6402116402116402, 'recall': 0.5960591133004927, 'f1': 0.6173469387755103, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.8467741935483871, 'recall': 0.9292035398230089, 'f1': 0.8860759493670886, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.7910447761194029, 'recall': 0.8907563025210085, 'f1': 0.8379446640316206, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.18181818181818182, 'recall': 0.23076923076923078, 'f1': 0.2033898305084746, 'number': 26}"
overall_precision,0.644244105409154
overall_recall,0.6311141304347826
overall_f1,0.63761153054221
overall_accuracy,0.9819492042627107
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.0625, 'recall': 0.012048192771084338, 'f1': 0.020202020202020204, 'number': 83}"
LeaseAndRentalExpense,"{'precision': 0.20634920634920634, 'recall': 0.5416666666666666, 'f1': 0.29885057471264365, 'number': 72}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.28402366863905326, 'recall': 0.35036496350364965, 'f1': 0.3137254901960785, 'number': 137}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.3586206896551724, 'recall': 0.5148514851485149, 'f1': 0.4227642276422764, 'number': 202}"
OperatingLeaseCost,"{'precision': 0.3684210526315789, 'recall': 0.08860759493670886, 'f1': 0.14285714285714285, 'number': 79}"
OperatingLeaseExpense,"{'precision': 0.3, 'recall': 0.020689655172413793, 'f1': 0.03870967741935484, 'number': 145}"
OperatingLeaseLiability,"{'precision': 0.1282051282051282, 'recall': 0.02857142857142857, 'f1': 0.04672897196261682, 'number': 175}"
OperatingLeasePayments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 82}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.3862433862433862, 'recall': 0.33640552995391704, 'f1': 0.35960591133004927, 'number': 217}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.7567567567567568, 'recall': 0.6086956521739131, 'f1': 0.674698795180723, 'number': 92}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.6, 'recall': 0.69, 'f1': 0.641860465116279, 'number': 100}"
OperatingLeasesRentExpenseNet,"{'precision': 0.015384615384615385, 'recall': 0.0625, 'f1': 0.02469135802469136, 'number': 32}"
overall_precision,0.32664526484751205
overall_recall,0.2874293785310734
overall_f1,0.3057851239669421
overall_accuracy,0.9671732522796352
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.6111111111111112, 'recall': 0.26506024096385544, 'f1': 0.3697478991596639, 'number': 83}"
LeaseAndRentalExpense,"{'precision': 0.2553191489361702, 'recall': 0.3333333333333333, 'f1': 0.2891566265060241, 'number': 72}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.4297520661157025, 'recall': 0.3795620437956204, 'f1': 0.40310077519379844, 'number': 137}"
