,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.05172413793103448, 'recall': 0.02127659574468085, 'f1': 0.030150753768844223, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.43478260869565216, 'recall': 0.050505050505050504, 'f1': 0.09049773755656108, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.5342465753424658, 'recall': 0.2727272727272727, 'f1': 0.3611111111111111, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.25806451612903225, 'recall': 0.06451612903225806, 'f1': 0.10322580645161289, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.04, 'recall': 0.027522935779816515, 'f1': 0.03260869565217391, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.12753623188405797, 'recall': 0.4444444444444444, 'f1': 0.1981981981981982, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.3442622950819672, 'recall': 0.14, 'f1': 0.1990521327014218, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.2875, 'recall': 0.2911392405063291, 'f1': 0.2893081761006289, 'number': 79}"
SharePrice,"{'precision': 0.05, 'recall': 0.010526315789473684, 'f1': 0.017391304347826087, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.2672413793103448, 'recall': 0.34065934065934067, 'f1': 0.2995169082125604, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.6629834254143646, 'recall': 0.3448275862068966, 'f1': 0.4536862003780719, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.046511627906976744, 'recall': 0.009900990099009901, 'f1': 0.016326530612244896, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.041666666666666664, 'recall': 0.01, 'f1': 0.016129032258064516, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.03773584905660377, 'recall': 0.01904761904761905, 'f1': 0.02531645569620253, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.3099273607748184, 'recall': 0.5981308411214953, 'f1': 0.4082934609250399, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.14018691588785046, 'recall': 0.5128205128205128, 'f1': 0.22018348623853207, 'number': 117}"
overall_precision,0.23878568192115995
overall_recall,0.19219547775346463
overall_f1,0.21297231763992724
overall_accuracy,0.9715299562869633
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.6176470588235294, 'recall': 0.2978723404255319, 'f1': 0.4019138755980861, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.6995305164319249, 'recall': 0.7525252525252525, 'f1': 0.7250608272506082, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7403846153846154, 'recall': 0.5384615384615384, 'f1': 0.6234817813765183, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.6458333333333334, 'recall': 0.25, 'f1': 0.3604651162790698, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.16666666666666666, 'recall': 0.05504587155963303, 'f1': 0.08275862068965519, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.75, 'recall': 0.08035714285714286, 'f1': 0.14516129032258066, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.3157894736842105, 'recall': 0.6060606060606061, 'f1': 0.41522491349480967, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.6153846153846154, 'recall': 0.1553398058252427, 'f1': 0.24806201550387597, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.3202247191011236, 'recall': 0.38, 'f1': 0.3475609756097561, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.36363636363636365, 'recall': 0.6075949367088608, 'f1': 0.4549763033175356, 'number': 79}"
SharePrice,"{'precision': 0.10743801652892562, 'recall': 0.1368421052631579, 'f1': 0.12037037037037038, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.33783783783783783, 'recall': 0.41208791208791207, 'f1': 0.37128712871287123, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.6821705426356589, 'recall': 0.5057471264367817, 'f1': 0.5808580858085809, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.6875, 'recall': 0.3811881188118812, 'f1': 0.49044585987261147, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.38, 'recall': 0.19, 'f1': 0.2533333333333333, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.14705882352941177, 'recall': 0.047619047619047616, 'f1': 0.07194244604316546, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.34285714285714286, 'recall': 0.09917355371900827, 'f1': 0.15384615384615385, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.45384615384615384, 'recall': 0.5514018691588785, 'f1': 0.49789029535864976, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.20075757575757575, 'recall': 0.452991452991453, 'f1': 0.27821522309711283, 'number': 117}"
overall_precision,0.44138806601777403
overall_recall,0.38037928519328956
overall_f1,0.40861900097943193
overall_accuracy,0.9769606582669067
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.631578947368421, 'recall': 0.425531914893617, 'f1': 0.5084745762711865, 'number': 141}"
