,0
ConcentrationRiskPercentage1,"{'precision': 0.8690671031096563, 'recall': 0.7937219730941704, 'f1': 0.8296874999999999, 'number': 669}"
EffectiveIncomeTaxRateContinuingOperations,"{'precision': 0.9207920792079208, 'recall': 0.12220762155059132, 'f1': 0.21577726218097448, 'number': 761}"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,"{'precision': 0.07709251101321586, 'recall': 0.20833333333333334, 'f1': 0.112540192926045, 'number': 168}"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"{'precision': 0.014084507042253521, 'recall': 0.03125, 'f1': 0.019417475728155338, 'number': 64}"
IncomeTaxExpenseBenefit,"{'precision': 0.4134366925064599, 'recall': 0.32193158953722334, 'f1': 0.36199095022624433, 'number': 497}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.5891089108910891, 'recall': 0.30279898218829515, 'f1': 0.39999999999999997, 'number': 393}"
RevenueFromContractWithCustomerIncludingAssessedTax,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 78}"
UnrecognizedTaxBenefits,"{'precision': 0.3409090909090909, 'recall': 0.17142857142857143, 'f1': 0.22813688212927757, 'number': 175}"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"{'precision': 0.1625, 'recall': 0.6265060240963856, 'f1': 0.25806451612903225, 'number': 83}"
overall_precision,0.4397590361445783
overall_recall,0.3538781163434903
overall_f1,0.39217191097467385
overall_accuracy,0.9742181904989258
,
ConcentrationRiskPercentage1,"{'precision': 0.9060283687943262, 'recall': 0.7638266068759342, 'f1': 0.8288726682887266, 'number': 669}"
EffectiveIncomeTaxRateContinuingOperations,"{'precision': 0.9503424657534246, 'recall': 0.7293035479632063, 'f1': 0.8252788104089219, 'number': 761}"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,"{'precision': 0.5780346820809249, 'recall': 0.5952380952380952, 'f1': 0.5865102639296188, 'number': 168}"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"{'precision': 0.07662835249042145, 'recall': 0.3125, 'f1': 0.12307692307692307, 'number': 64}"
IncomeTaxExpenseBenefit,"{'precision': 0.6570397111913358, 'recall': 0.36619718309859156, 'f1': 0.47028423772609823, 'number': 497}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.647887323943662, 'recall': 0.4681933842239186, 'f1': 0.5435745937961596, 'number': 393}"
RevenueFromContractWithCustomerIncludingAssessedTax,"{'precision': 0.1590909090909091, 'recall': 0.2692307692307692, 'f1': 0.19999999999999998, 'number': 78}"
UnrecognizedTaxBenefits,"{'precision': 0.4807692307692308, 'recall': 0.42857142857142855, 'f1': 0.45317220543806647, 'number': 175}"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"{'precision': 0.24897959183673468, 'recall': 0.7349397590361446, 'f1': 0.3719512195121951, 'number': 83}"
overall_precision,0.6386397608370703
overall_recall,0.5917590027700831
overall_f1,0.6143062544931703
overall_accuracy,0.9819954517470568
,
ConcentrationRiskPercentage1,"{'precision': 0.9325259515570934, 'recall': 0.8056801195814649, 'f1': 0.8644747393744988, 'number': 669}"
