,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.6513105639396346, 'recall': 0.4990870359099209, 'f1': 0.5651274982770503, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.7986111111111112, 'recall': 0.8518518518518519, 'f1': 0.8243727598566308, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.14147627416520211, 'recall': 0.11979166666666667, 'f1': 0.1297340854149879, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.42857142857142855, 'recall': 0.35454545454545455, 'f1': 0.3880597014925373, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.24489795918367346, 'recall': 0.03488372093023256, 'f1': 0.06106870229007634, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.6844547563805105, 'recall': 0.1619099890230516, 'f1': 0.2618730581446959, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.008120649651972157, 'recall': 0.04142011834319527, 'f1': 0.013579049466537341, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.3274021352313167, 'recall': 0.3607843137254902, 'f1': 0.34328358208955223, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.1871345029239766, 'recall': 0.7619047619047619, 'f1': 0.3004694835680751, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.2957393483709273, 'recall': 0.07019631171921475, 'f1': 0.11346153846153846, 'number': 1681}"
LongTermDebt,"{'precision': 0.2631578947368421, 'recall': 0.025839793281653745, 'f1': 0.04705882352941176, 'number': 387}"
overall_precision,0.32776162790697677
overall_recall,0.20714203697324607
overall_f1,0.2538521072257793
overall_accuracy,0.9660018461851564
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.8446043165467626, 'recall': 0.357273280584297, 'f1': 0.5021385799828914, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.20540540540540542, 'recall': 0.10215053763440861, 'f1': 0.13644524236983843, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.7484662576687117, 'recall': 0.9037037037037037, 'f1': 0.8187919463087249, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.26475548060708265, 'recall': 0.23363095238095238, 'f1': 0.2482213438735178, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.415041782729805, 'recall': 0.6772727272727272, 'f1': 0.5146804835924007, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.24761904761904763, 'recall': 0.37790697674418605, 'f1': 0.2991944764096663, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.7630853994490359, 'recall': 0.6081229418221734, 'f1': 0.6768478924862553, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.04096385542168675, 'recall': 0.10059171597633136, 'f1': 0.058219178082191785, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.752895752895753, 'recall': 0.7647058823529411, 'f1': 0.7587548638132297, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.20435967302452315, 'recall': 0.35545023696682465, 'f1': 0.25951557093425603, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.2603550295857988, 'recall': 0.6984126984126984, 'f1': 0.3793103448275862, 'number': 126}"
