,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.0625, 'recall': 0.0070921985815602835, 'f1': 0.012738853503184714, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8181818181818182, 'recall': 0.4090909090909091, 'f1': 0.5454545454545455, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.6067415730337079, 'recall': 0.3776223776223776, 'f1': 0.46551724137931033, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.125, 'recall': 0.04032258064516129, 'f1': 0.06097560975609756, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.02631578947368421, 'recall': 0.027522935779816515, 'f1': 0.026905829596412554, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.03278688524590164, 'recall': 0.017857142857142856, 'f1': 0.023121387283236993, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.060897435897435896, 'recall': 0.1919191919191919, 'f1': 0.09245742092457422, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.5, 'recall': 0.11650485436893204, 'f1': 0.18897637795275593, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.3986013986013986, 'recall': 0.38, 'f1': 0.3890784982935154, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.3069306930693069, 'recall': 0.7848101265822784, 'f1': 0.44128113879003555, 'number': 79}"
SharePrice,"{'precision': 0.05202312138728324, 'recall': 0.09473684210526316, 'f1': 0.06716417910447763, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.3225806451612903, 'recall': 0.38461538461538464, 'f1': 0.3508771929824561, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.8, 'recall': 0.22988505747126436, 'f1': 0.35714285714285715, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.14814814814814814, 'recall': 0.04, 'f1': 0.06299212598425197, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.13793103448275862, 'recall': 0.0380952380952381, 'f1': 0.05970149253731343, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.3076923076923077, 'recall': 0.5046728971962616, 'f1': 0.3823008849557522, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.1872791519434629, 'recall': 0.452991452991453, 'f1': 0.265, 'number': 117}"
overall_precision,0.2711864406779661
overall_recall,0.2275711159737418
overall_f1,0.24747174301011302
overall_accuracy,0.9727847775777835
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.5303030303030303, 'recall': 0.24822695035460993, 'f1': 0.3381642512077294, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8457943925233645, 'recall': 0.9141414141414141, 'f1': 0.8786407766990292, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.6612903225806451, 'recall': 0.5734265734265734, 'f1': 0.6142322097378278, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.5483870967741935, 'recall': 0.27419354838709675, 'f1': 0.3655913978494624, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.3333333333333333, 'recall': 0.12844036697247707, 'f1': 0.18543046357615894, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.7272727272727273, 'recall': 0.21428571428571427, 'f1': 0.3310344827586207, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.2608695652173913, 'recall': 0.5454545454545454, 'f1': 0.3529411764705882, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.46511627906976744, 'recall': 0.1941747572815534, 'f1': 0.27397260273972607, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.40932642487046633, 'recall': 0.5266666666666666, 'f1': 0.46064139941690957, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.30569948186528495, 'recall': 0.7468354430379747, 'f1': 0.43382352941176466, 'number': 79}"
SharePrice,"{'precision': 0.11888111888111888, 'recall': 0.17894736842105263, 'f1': 0.14285714285714288, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.3701657458563536, 'recall': 0.36813186813186816, 'f1': 0.3691460055096419, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.7562189054726368, 'recall': 0.4367816091954023, 'f1': 0.5537340619307832, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.8625, 'recall': 0.3415841584158416, 'f1': 0.48936170212765956, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.45714285714285713, 'recall': 0.32, 'f1': 0.37647058823529417, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.17647058823529413, 'recall': 0.11428571428571428, 'f1': 0.13872832369942195, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.4852941176470588, 'recall': 0.2727272727272727, 'f1': 0.3492063492063492, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.45384615384615384, 'recall': 0.5514018691588785, 'f1': 0.49789029535864976, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.2556390977443609, 'recall': 0.2905982905982906, 'f1': 0.272, 'number': 117}"
overall_precision,0.46871062578748424
overall_recall,0.40700218818380746
overall_f1,0.43568221745071245
overall_accuracy,0.9782771920802262
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.671875, 'recall': 0.3049645390070922, 'f1': 0.4195121951219512, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8817733990147784, 'recall': 0.9040404040404041, 'f1': 0.8927680798004988, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7671232876712328, 'recall': 0.7832167832167832, 'f1': 0.7750865051903114, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.532608695652174, 'recall': 0.3951612903225806, 'f1': 0.4537037037037037, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.5512820512820513, 'recall': 0.3944954128440367, 'f1': 0.45989304812834225, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.8192771084337349, 'recall': 0.6071428571428571, 'f1': 0.6974358974358973, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.3783783783783784, 'recall': 0.5656565656565656, 'f1': 0.4534412955465587, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.3770491803278688, 'recall': 0.22330097087378642, 'f1': 0.28048780487804875, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.42857142857142855, 'recall': 0.54, 'f1': 0.47787610619469023, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.45255474452554745, 'recall': 0.7848101265822784, 'f1': 0.5740740740740741, 'number': 79}"
SharePrice,"{'precision': 0.288135593220339, 'recall': 0.35789473684210527, 'f1': 0.3192488262910798, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.45685279187817257, 'recall': 0.4945054945054945, 'f1': 0.47493403693931396, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.8442028985507246, 'recall': 0.6695402298850575, 'f1': 0.7467948717948717, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.9117647058823529, 'recall': 0.4603960396039604, 'f1': 0.6118421052631579, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.5636363636363636, 'recall': 0.31, 'f1': 0.39999999999999997, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.06451612903225806, 'recall': 0.01904761904761905, 'f1': 0.029411764705882353, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.624113475177305, 'recall': 0.7272727272727273, 'f1': 0.6717557251908397, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.4840764331210191, 'recall': 0.7102803738317757, 'f1': 0.5757575757575758, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.35344827586206895, 'recall': 0.3504273504273504, 'f1': 0.35193133047210295, 'number': 117}"
overall_precision,0.5801646413171305
overall_recall,0.5397520058351568
overall_f1,0.5592291706026828
overall_accuracy,0.9822885060426845
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.8111111111111111, 'recall': 0.5177304964539007, 'f1': 0.6320346320346321, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.9306930693069307, 'recall': 0.9494949494949495, 'f1': 0.9400000000000001, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7692307692307693, 'recall': 0.8391608391608392, 'f1': 0.802675585284281, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.6608695652173913, 'recall': 0.6129032258064516, 'f1': 0.6359832635983262, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.6229508196721312, 'recall': 0.6972477064220184, 'f1': 0.658008658008658, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.8230088495575221, 'recall': 0.8303571428571429, 'f1': 0.8266666666666667, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.6571428571428571, 'recall': 0.696969696969697, 'f1': 0.676470588235294, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.5319148936170213, 'recall': 0.24271844660194175, 'f1': 0.33333333333333337, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.44329896907216493, 'recall': 0.5733333333333334, 'f1': 0.4999999999999999, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.4195804195804196, 'recall': 0.759493670886076, 'f1': 0.5405405405405406, 'number': 79}"
SharePrice,"{'precision': 0.45217391304347826, 'recall': 0.5473684210526316, 'f1': 0.4952380952380953, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.46153846153846156, 'recall': 0.4945054945054945, 'f1': 0.4774535809018568, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.8452012383900929, 'recall': 0.7844827586206896, 'f1': 0.8137108792846499, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.9177215189873418, 'recall': 0.7178217821782178, 'f1': 0.8055555555555555, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.3870967741935484, 'recall': 0.36, 'f1': 0.37305699481865284, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.21978021978021978, 'recall': 0.19047619047619047, 'f1': 0.20408163265306123, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.7014925373134329, 'recall': 0.7768595041322314, 'f1': 0.7372549019607844, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.48497854077253216, 'recall': 0.5280373831775701, 'f1': 0.5055928411633109, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.3888888888888889, 'recall': 0.29914529914529914, 'f1': 0.33816425120772947, 'number': 117}"
overall_precision,0.6340566384700257
overall_recall,0.6287381473377097
overall_f1,0.6313861930049441
overall_accuracy,0.9847364361018257
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.18181818181818182, 'recall': 0.015503875968992248, 'f1': 0.02857142857142857, 'number': 129}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.7916666666666666, 'recall': 0.2585034013605442, 'f1': 0.38974358974358975, 'number': 147}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7078651685393258, 'recall': 0.3423913043478261, 'f1': 0.4615384615384615, 'number': 184}"
CommonStockSharesAuthorized,"{'precision': 0.4090909090909091, 'recall': 0.13432835820895522, 'f1': 0.20224719101123595, 'number': 134}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 135}"
PreferredStockDividendRatePercentage,"{'precision': 0.027777777777777776, 'recall': 0.017391304347826087, 'f1': 0.021390374331550804, 'number': 115}"
PreferredStockSharesAuthorized,"{'precision': 0.08695652173913043, 'recall': 0.22807017543859648, 'f1': 0.12590799031476999, 'number': 114}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.375, 'recall': 0.10465116279069768, 'f1': 0.16363636363636364, 'number': 86}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.38311688311688313, 'recall': 0.3333333333333333, 'f1': 0.35649546827794565, 'number': 177}"
SaleOfStockPricePerShare,"{'precision': 0.3602941176470588, 'recall': 0.725925925925926, 'f1': 0.4815724815724816, 'number': 135}"
SharePrice,"{'precision': 0.10897435897435898, 'recall': 0.11805555555555555, 'f1': 0.11333333333333334, 'number': 144}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.31645569620253167, 'recall': 0.3177966101694915, 'f1': 0.31712473572938693, 'number': 236}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.9101123595505618, 'recall': 0.30111524163568776, 'f1': 0.452513966480447, 'number': 269}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 134}"
