sentence,real_label,pred_label
['For'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['incurred'],O,O
['interest'],O,O
['expense'],O,O
['of'],O,O
['$'],O,O
['5.3'],B-InterestExpenseDebt,B-InterestExpenseDebt
['million'],O,O
['and'],O,O
['$'],O,O
['10.5'],B-InterestExpenseDebt,B-InterestExpenseDebt
['million'],O,O
"[',']",O,O
['which'],O,O
['includes'],O,O
['amortization'],O,O
['of'],O,O
['original'],O,O
['issue'],O,O
['discount'],O,O
['of'],O,O
['$'],O,O
['3.3'],O,O
['million'],O,O
['and'],O,O
['$'],O,O
['6.5'],O,O
['million'],O,O
"[',']",O,O
['and'],O,O
['debt'],O,O
['issuance'],O,O
['costs'],O,O
['of'],O,O
['$'],O,O
['0.8'],B-AmortizationOfFinancingCosts,B-AmortizationOfFinancingCosts
['million'],O,O
['and'],O,O
['$'],O,O
['1.7'],B-AmortizationOfFinancingCosts,B-AmortizationOfFinancingCosts
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recorded'],O,O
['a'],O,O
['loss'],O,O
['of'],O,O
['$'],O,O
['0.9'],O,O
['million'],O,O
['related'],O,O
['to'],O,O
['held'],O,O
['for'],O,O
['sale'],O,O
['properties'],O,O
['.'],O,O
['Intangible'],O,O
['Lease'],O,O
['Assets'],O,O
['and'],O,O
['Liabilities'],O,O
['Intangible'],O,O
['lease'],O,O
['assets'],O,O
['and'],O,O
['liabilities'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['consisted'],O,O
['of'],O,O
['the'],O,O
['following'],O,O
['as'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['('],O,O
['amounts'],O,O
['in'],O,O
['thousands'],O,O
"[',']",O,O
['except'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
[')'],O,O
[':'],O,O
['The'],O,O
['aggregate'],O,O
['amount'],O,O
['of'],O,O
['above'],O,O
['-'],O,O
['and'],O,O
['below'],O,O
['-'],O,O
['market'],O,O
['leases'],O,O
['and'],O,O
['deferred'],O,O
['lease'],O,O
['incentives'],O,O
['amortized'],O,O
['and'],O,O
['included'],O,O
['as'],O,O
['a'],O,O
['net'],O,O
['decrease'],O,O
['to'],O,O
['rental'],O,O
['revenue'],O,O
['was'],O,O
['$'],O,O
['0.7'],B-AmortizationOfIntangibleAssets,B-AmortizationOfIntangibleAssets
['million'],O,O
['and'],O,O
['$'],O,O
['1.5'],B-AmortizationOfIntangibleAssets,B-AmortizationOfIntangibleAssets
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['amortized'],O,O
['$'],O,O
