,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.5647279549718575, 'recall': 0.36640292148508824, 'f1': 0.4444444444444444, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.02956989247311828, 'recall': 0.029490616621983913, 'f1': 0.02953020134228188, 'number': 373}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.009345794392523364, 'recall': 0.007407407407407408, 'f1': 0.008264462809917356, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.22854739203589455, 'recall': 0.6063988095238095, 'f1': 0.3319755600814664, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.20414201183431951, 'recall': 0.31363636363636366, 'f1': 0.24731182795698925, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.5763293310463122, 'recall': 0.36882546652030734, 'f1': 0.44979919678714864, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.014563106796116505, 'recall': 0.05325443786982249, 'f1': 0.022871664548919948, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.22040816326530613, 'recall': 0.21176470588235294, 'f1': 0.216, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.03910614525139665, 'recall': 0.03317535545023697, 'f1': 0.0358974358974359, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.0990990990990991, 'recall': 0.0873015873015873, 'f1': 0.09282700421940927, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.28940568475452194, 'recall': 0.06662700773349196, 'f1': 0.10831721470019341, 'number': 1681}"
LongTermDebt,"{'precision': 0.01440922190201729, 'recall': 0.02570694087403599, 'f1': 0.018467220683287166, 'number': 389}"
overall_precision,0.26656931026735564
overall_recall,0.2723829201101928
overall_f1,0.2694447598501192
overall_accuracy,0.9583663441899681
,
