sentence,real_label,pred_label
['The'],O,O
['Utility'],O,O
['’'],O,O
['s'],O,O
['undiscounted'],O,O
['future'],O,O
['costs'],O,O
['associated'],O,O
['with'],O,O
['fossil'],O,O
['fuel'],O,O
['-'],O,O
['fired'],O,O
['generation'],O,O
['sites'],O,O
['may'],O,O
['increase'],O,O
['by'],O,O
['as'],O,O
['much'],O,O
['as'],O,O
['$'],O,O
['80'],B-AccrualForEnvironmentalLossContingencies,B-AccrualForEnvironmentalLossContingencies
['million'],O,O
['if'],O,O
['the'],O,O
['extent'],O,O
['of'],O,O
['contamination'],O,O
['or'],O,O
['necessary'],O,O
['remediation'],O,O
['is'],O,O
['greater'],O,O
['than'],O,O
['anticipated'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['environmental'],O,O
['reserves'],O,O
['of'],O,O
['$'],O,O
['9'],B-AccrualForEnvironmentalLossContingencies,B-AccrualForEnvironmentalLossContingencies
['million'],O,O
['and'],O,O
['$'],O,O
['12'],B-AccrualForEnvironmentalLossContingencies,B-AccrualForEnvironmentalLossContingencies
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['Ameren'],O,O
['and'],O,O
['Ameren'],O,O
['Illinois'],O,O
['recorded'],O,O
['a'],O,O
['liability'],O,O
['of'],O,O
['$'],O,O
['145'],B-AccrualForEnvironmentalLossContingencies,B-AccrualForEnvironmentalLossContingencies
['million'],O,O
['to'],O,O
['represent'],O,O
['the'],O,O
['estimated'],O,O
['minimum'],O,O
['obligation'],O,O
['for'],O,O
['these'],O,O
['sites'],O,O
"[',']",O,O
['as'],O,O
['no'],O,O
['other'],O,O
['amount'],O,O
['within'],O,O
['the'],O,O
['range'],O,O
['was'],O,O
['a'],O,O
['better'],O,O
['estimate'],O,O
['.'],O,O
['The'],O,O
['scope'],O,O
['of'],O,O
['the'],O,O
['remediation'],O,O
['activities'],O,O
['at'],O,O
['these'],O,O
['former'],O,O
['MGP'],O,O
['sites'],O,O
['may'],O,O
['increase'],O,O
['as'],O,O
['remediation'],O,O
['efforts'],O,O
['continue'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['undiscounted'],O,O
['reserve'],O,O
['for'],O,O
['environmental'],O,O
['investigation'],O,O
['and'],O,O
['remediation'],O,O
['was'],O,O
