sentence,real_label,pred_label
['Product'],O,O
['sales'],O,O
['by'],O,O
['product'],O,O
['group'],O,O
['and'],O,O
['geographic'],O,O
['market'],O,O
"[',']",O,O
['based'],O,O
['on'],O,O
['the'],O,O
['location'],O,O
['of'],O,O
['the'],O,O
['customer'],O,O
"[',']",O,O
['whether'],O,O
['the'],O,O
['U.S.'],O,O
['or'],O,O
['outside'],O,O
['the'],O,O
['U.S.'],O,O
['('],O,O
"['""']",O,O
['OUS'],O,O
"['""']",O,O
[')'],O,O
['for'],O,O
['the'],O,O
['periods'],O,O
['shown'],O,O
['were'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['12APOLLO'],O,O
['ENDO'],O,O
['SURGERY'],O,O
"[',']",O,O
['INC'],O,O
['.'],O,O
['AND'],O,O
['SUBSIDIARIES'],O,O
['Notes'],O,O
['to'],O,O
['Unaudited'],O,O
['Interim'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Financial'],O,O
['Statements'],O,O
['('],O,O
['continued'],O,O
[')'],O,O
['('],O,O
['In'],O,O
['thousands'],O,O
"[',']",O,O
['except'],O,O
['for'],O,O
['share'],O,O
['data'],O,O
[')'],O,O
['Total'],O,O
['distributor'],O,O
['sales'],O,O
['were'],O,O
['33.7'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['22.5'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['total'],O,O
['OUS'],O,O
['revenues'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['and'],O,O
['30.8'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['21.1'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['for'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['Pro'],O,O
['forma'],O,O
['revenue'],O,O
['for'],O,O
['the'],O,O
['combined'],O,O
['customer'],O,O
['would'],O,O
['have'],O,O
['been'],O,O
['21'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['had'],O,O
['one'],O,O
['customer'],O,O
['which'],O,O
['accounted'],O,O
['for'],O,O
['95'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['total'],O,O
['revenue'],O,O
['.'],O,O
,,
['California'],O,O
