,0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.16666666666666666, 'recall': 0.009009009009009009, 'f1': 0.017094017094017096, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.07142857142857142, 'recall': 0.1111111111111111, 'f1': 0.08695652173913043, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.16981132075471697, 'recall': 0.15517241379310345, 'f1': 0.16216216216216214, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.42857142857142855, 'recall': 0.24324324324324326, 'f1': 0.3103448275862069, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.24528301886792453, 'recall': 0.09420289855072464, 'f1': 0.13612565445026178, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.20512820512820512, 'recall': 0.15384615384615385, 'f1': 0.17582417582417584, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.06976744186046512, 'recall': 0.05027932960893855, 'f1': 0.05844155844155845, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.3038461538461538, 'recall': 0.3891625615763547, 'f1': 0.3412526997840173, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.536, 'recall': 0.5929203539823009, 'f1': 0.5630252100840336, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.8481012658227848, 'recall': 0.5630252100840336, 'f1': 0.6767676767676768, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.064, 'recall': 0.3076923076923077, 'f1': 0.10596026490066225, 'number': 26}"
overall_precision,0.2934497816593886
overall_recall,0.22826086956521738
overall_f1,0.2567825754680932
overall_accuracy,0.9665273930801371
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.6, 'recall': 0.1891891891891892, 'f1': 0.28767123287671237, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.056, 'recall': 0.19444444444444445, 'f1': 0.08695652173913043, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.3464566929133858, 'recall': 0.3793103448275862, 'f1': 0.36213991769547327, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.45, 'recall': 0.36486486486486486, 'f1': 0.4029850746268656, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.27722772277227725, 'recall': 0.2028985507246377, 'f1': 0.23430962343096234, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.17083333333333334, 'recall': 0.3942307692307692, 'f1': 0.2383720930232558, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.12213740458015267, 'recall': 0.0893854748603352, 'f1': 0.1032258064516129, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.16666666666666666, 'recall': 0.06666666666666667, 'f1': 0.09523809523809522, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.5061728395061729, 'recall': 0.4039408866995074, 'f1': 0.4493150684931507, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.9021739130434783, 'recall': 0.7345132743362832, 'f1': 0.8097560975609756, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.6282051282051282, 'recall': 0.8235294117647058, 'f1': 0.7127272727272727, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.08791208791208792, 'recall': 0.3076923076923077, 'f1': 0.13675213675213677, 'number': 26}"
overall_precision,0.3481781376518219
overall_recall,0.35054347826086957
overall_f1,0.3493568043331077
overall_accuracy,0.9694380545514295
,
