,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.03333333333333333, 'recall': 0.014184397163120567, 'f1': 0.01990049751243781, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.4854368932038835, 'recall': 0.25252525252525254, 'f1': 0.33222591362126247, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.44805194805194803, 'recall': 0.4825174825174825, 'f1': 0.46464646464646464, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.3055555555555556, 'recall': 0.08870967741935484, 'f1': 0.13749999999999998, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.08064516129032258, 'recall': 0.044642857142857144, 'f1': 0.0574712643678161, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.0859375, 'recall': 0.1111111111111111, 'f1': 0.09691629955947136, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.006802721088435374, 'recall': 0.009708737864077669, 'f1': 0.008, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.14634146341463414, 'recall': 0.04, 'f1': 0.06282722513089005, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.15891472868217055, 'recall': 0.5189873417721519, 'f1': 0.24332344213649854, 'number': 79}"
SharePrice,"{'precision': 0.05063291139240506, 'recall': 0.08421052631578947, 'f1': 0.06324110671936758, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.3619047619047619, 'recall': 0.2087912087912088, 'f1': 0.26480836236933797, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.4027777777777778, 'recall': 0.25, 'f1': 0.30851063829787234, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.10294117647058823, 'recall': 0.034653465346534656, 'f1': 0.05185185185185186, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.125, 'recall': 0.01, 'f1': 0.018518518518518517, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.0625, 'recall': 0.009523809523809525, 'f1': 0.016528925619834715, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.07407407407407407, 'recall': 0.01652892561983471, 'f1': 0.02702702702702703, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.29925187032418954, 'recall': 0.5607476635514018, 'f1': 0.39024390243902435, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.16216216216216217, 'recall': 0.5641025641025641, 'f1': 0.2519083969465649, 'number': 117}"
overall_precision,0.20570981619084866
overall_recall,0.19183078045222465
overall_f1,0.19852802415550105
overall_accuracy,0.9669838004628439
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.2711864406779661, 'recall': 0.22695035460992907, 'f1': 0.24710424710424708, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.7528089887640449, 'recall': 0.6767676767676768, 'f1': 0.7127659574468085, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.5757575757575758, 'recall': 0.5314685314685315, 'f1': 0.5527272727272727, 'number': 143}"
