sentence,real_label,pred_label
['The'],O,O
['plan'],O,O
['allows'],O,O
['for'],O,O
['the'],O,O
['issuance'],O,O
['of'],O,O
['up'],O,O
['to'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['3,750,000']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['common'],O,O
['stock'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['August'],O,O
['2'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['reserved'],O,O
"['21,250,069']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['available'],O,O
['for'],O,O
['future'],O,O
['equity'],O,O
['award'],O,O
['grants'],O,O
['under'],O,O
['our'],O,O
['equity'],O,O
['incentive'],O,O
['plans'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['had'],O,O
['approximately'],O,O
['$'],O,O
['10.4'],O,O
['million'],O,O
['of'],O,O
['capacity'],O,O
['available'],O,O
['to'],O,O
['it'],O,O
['under'],O,O
['its'],O,O
['“'],O,O
['at'],O,O
['-'],O,O
['the'],O,O
['-'],O,O
['market'],O,O
['”'],O,O
['equity'],O,O
['offering'],O,O
['program'],O,O
['.'],O,O
['Note'],O,O
['9-Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['('],O,O
['A'],O,O
[')'],O,O
['Myovant'],O,O
['2016'],O,O
['Equity'],O,O
['Incentive'],O,O
['Plan'],O,O
['In'],O,O
['June'],O,O
['2016'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['adopted'],O,O
['its'],O,O
['2016'],O,O
['Equity'],O,O
['Incentive'],O,O
['Plan'],O,O
"[',']",O,O
['or'],O,O
['as'],O,O
['amended'],O,O
"[',']",O,O
['the'],O,O
['2016'],O,O
['Plan'],O,O
"[',']",O,O
['under'],O,O
['which'],O,O
['4.5'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['common'],O,O
['shares'],O,O
['were'],O,O
['originally'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['.'],O,O
,,
['At'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['have'],O,O
['reserved'],O,O
['approximately'],O,O
['3.9'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['for'],O,O
['future'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['LTIP'],O,O
['.'],O,O
,,
['There'],O,O
['were'],O,O
"['23,578,923']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['Class'],O,O
['B'],O,O
['common'],O,O
['stock'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['2011'],O,O
['Plan'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['At'],O,O
['the'],O,O
['July'],O,O
['2019'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['meeting'],O,O
"[',']",O,O
['a'],O,O
['quarterly'],O,O
['cash'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.25'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
['('],O,O
['$'],O,O
['1.00'],O,O
['on'],O,O
['an'],O,O
['annualized'],O,O
['basis'],O,O
[')'],O,O
['was'],O,O
['declared'],O,O
['.'],O,O
,,
['The'],O,O
['Credit'],O,O
['Facility'],O,O
['agreement'],O,O
['includes'],O,O
['covenants'],O,O
"[',']",O,O
['subject'],O,O
['in'],O,O
['each'],O,O
['case'],O,O
['to'],O,O
['exceptions'],O,O
['and'],O,O
['qualifications'],O,O
['that'],O,O
['may'],O,O
['restrict'],O,O
['certain'],O,O
['payments'],O,O
"[',']",O,O
['including'],O,O
['in'],O,O
['certain'],O,O
['circumstances'],O,O
"[',']",O,O
['the'],O,O
['repurchasing'],O,O
['of'],O,O
['our'],O,O
['common'],O,O
['stock'],O,O
['and'],O,O
['paying'],O,O
['cash'],O,O
['dividends'],O,O
['in'],O,O
['excess'],O,O
['of'],O,O
['our'],O,O
['current'],O,O
['rate'],O,O
['of'],O,O
['$'],O,O
['0.01'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
['per'],O,O
['quarter'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['July'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['declared'],O,O
['and'],O,O
['paid'],O,O
['aggregate'],O,O
['cash'],O,O
['dividends'],O,O
['of'],O,O
['$'],O,O
['0.33'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['and'],O,O
['$'],O,O
['0.30'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['to'],O,O
['our'],O,O
['shareholders'],O,O
['.'],O,O
,,
['On'],O,O
['February'],O,O
['8'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['our'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['declared'],O,O
['a'],O,O
['cash'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.34'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['per'],O,O
['common'],O,O
['share'],O,O
['.'],O,O
,,
['The'],O,O
['table'],O,O
['below'],O,O
['summarizes'],O,O
['the'],O,O
['company'],O,O
['’'],O,O
['s'],O,O
['share'],O,O
['repurchases'],O,O
['to'],O,O
['date'],O,O
['under'],O,O
['the'],O,O
['authorizations'],O,O
['described'],O,O
['above'],O,O
[':'],O,O
['('],O,O
['1'],O,O
[')'],O,O
['Includes'],O,O
['commissions'],O,O
['paid'],O,O
['.'],O,O
['Dividends'],O,O
['on'],O,O
['Common'],O,O
['Stock'],O,O
['In'],O,O
['May'],O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['company'],O,O
['increased'],O,O
['the'],O,O
['quarterly'],O,O
['common'],O,O
['stock'],O,O
['dividend'],O,O
['10'],O,O
['percent'],O,O
['to'],O,O
['$'],O,O
['1.32'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
