,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.44305772230889234, 'recall': 0.6914181375532562, 'f1': 0.5400522937960541, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.15151515151515152, 'recall': 0.23065476190476192, 'f1': 0.18289085545722714, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.02390438247011952, 'recall': 0.023529411764705882, 'f1': 0.023715415019762844, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 1.0, 'recall': 0.001784651992861392, 'f1': 0.003562945368171021, 'number': 1681}"
LongTermDebt,"{'precision': 0.10483870967741936, 'recall': 0.10077519379844961, 'f1': 0.10276679841897234, 'number': 387}"
overall_precision,0.25274911182541027
overall_recall,0.1715466758525663
overall_f1,0.20437756497948015
overall_accuracy,0.9669612809908344
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.7909887359198998, 'recall': 0.3846622032866707, 'f1': 0.5176085176085176, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.13186813186813187, 'recall': 0.06451612903225806, 'f1': 0.08664259927797834, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.3394255874673629, 'recall': 0.9629629629629629, 'f1': 0.5019305019305018, 'number': 135}"
