,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.07142857142857142, 'recall': 0.0070921985815602835, 'f1': 0.012903225806451613, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.9615384615384616, 'recall': 0.12626262626262627, 'f1': 0.22321428571428575, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.2372093023255814, 'recall': 0.35664335664335667, 'f1': 0.2849162011173184, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.2777777777777778, 'recall': 0.24193548387096775, 'f1': 0.25862068965517243, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.1774193548387097, 'recall': 0.1111111111111111, 'f1': 0.13664596273291924, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.11627906976744186, 'recall': 0.0970873786407767, 'f1': 0.10582010582010583, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.1875, 'recall': 0.02, 'f1': 0.03614457831325301, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.1736111111111111, 'recall': 0.31645569620253167, 'f1': 0.22421524663677128, 'number': 79}"
SharePrice,"{'precision': 0.2, 'recall': 0.010526315789473684, 'f1': 0.019999999999999997, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.23404255319148937, 'recall': 0.06043956043956044, 'f1': 0.09606986899563319, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.7954545454545454, 'recall': 0.10057471264367816, 'f1': 0.17857142857142858, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.2222222222222222, 'recall': 0.07920792079207921, 'f1': 0.11678832116788321, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.14285714285714285, 'recall': 0.02, 'f1': 0.03508771929824562, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.23529411764705882, 'recall': 0.06611570247933884, 'f1': 0.1032258064516129, 'number': 121}"
