,0
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.2716417910447761, 'recall': 0.5027624309392266, 'f1': 0.35271317829457366, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.9221556886227545, 'recall': 0.9058823529411765, 'f1': 0.913946587537092, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.35714285714285715, 'recall': 0.03875968992248062, 'f1': 0.06993006993006992, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.6976744186046512, 'recall': 0.10714285714285714, 'f1': 0.18575851393188855, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.17142857142857143, 'recall': 0.07272727272727272, 'f1': 0.10212765957446808, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.11764705882352941, 'recall': 0.06060606060606061, 'f1': 0.08, 'number': 66}"
Goodwill,"{'precision': 0.4116279069767442, 'recall': 0.5583596214511041, 'f1': 0.4738955823293172, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.7280701754385965, 'recall': 0.7063829787234043, 'f1': 0.7170626349892009, 'number': 235}"
overall_precision,0.48153730218538054
overall_recall,0.39738805970149255
overall_f1,0.43543441226575813
overall_accuracy,0.9795768490994929
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.754601226993865, 'recall': 0.6795580110497238, 'f1': 0.7151162790697675, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.9217877094972067, 'recall': 0.9705882352941176, 'f1': 0.9455587392550143, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.543859649122807, 'recall': 0.4806201550387597, 'f1': 0.5102880658436214, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.760797342192691, 'recall': 0.8178571428571428, 'f1': 0.7882960413080895, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.6363636363636364, 'recall': 0.38181818181818183, 'f1': 0.47727272727272735, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.15625, 'recall': 0.15384615384615385, 'f1': 0.15503875968992248, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.45714285714285713, 'recall': 0.24242424242424243, 'f1': 0.31683168316831684, 'number': 66}"
Goodwill,"{'precision': 0.6303724928366762, 'recall': 0.694006309148265, 'f1': 0.6606606606606606, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.7093023255813954, 'recall': 0.7787234042553192, 'f1': 0.742393509127789, 'number': 235}"
overall_precision,0.6856594110115237
overall_recall,0.6660447761194029
overall_f1,0.6757097791798108
overall_accuracy,0.9867459346039518
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.78125, 'recall': 0.8287292817679558, 'f1': 0.804289544235925, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8918918918918919, 'recall': 0.9705882352941176, 'f1': 0.9295774647887325, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.7364341085271318, 'recall': 0.7364341085271318, 'f1': 0.7364341085271318, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.7781569965870307, 'recall': 0.8142857142857143, 'f1': 0.7958115183246074, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.776595744680851, 'recall': 0.44242424242424244, 'f1': 0.5637065637065637, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.24031007751937986, 'recall': 0.47692307692307695, 'f1': 0.3195876288659794, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.18181818181818182, 'recall': 0.12121212121212122, 'f1': 0.14545454545454545, 'number': 66}"
Goodwill,"{'precision': 0.7473684210526316, 'recall': 0.6719242902208202, 'f1': 0.7076411960132891, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.7346938775510204, 'recall': 0.7659574468085106, 'f1': 0.7499999999999999, 'number': 235}"
overall_precision,0.7161654135338346
overall_recall,0.710820895522388
overall_f1,0.7134831460674157
overall_accuracy,0.988389578597657
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.8100558659217877, 'recall': 0.8011049723756906, 'f1': 0.8055555555555556, 'number': 181}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.8756476683937824, 'recall': 0.9941176470588236, 'f1': 0.931129476584022, 'number': 170}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.6602564102564102, 'recall': 0.7984496124031008, 'f1': 0.7228070175438596, 'number': 129}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.7540453074433657, 'recall': 0.8321428571428572, 'f1': 0.7911714770797963, 'number': 280}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.7132867132867133, 'recall': 0.6181818181818182, 'f1': 0.6623376623376623, 'number': 165}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.36585365853658536, 'recall': 0.46153846153846156, 'f1': 0.40816326530612246, 'number': 65}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.45901639344262296, 'recall': 0.42424242424242425, 'f1': 0.4409448818897638, 'number': 66}"
Goodwill,"{'precision': 0.8152173913043478, 'recall': 0.7097791798107256, 'f1': 0.7588532883642496, 'number': 317}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.7449392712550608, 'recall': 0.7829787234042553, 'f1': 0.7634854771784232, 'number': 235}"
overall_precision,0.7405832320777643
overall_recall,0.7580845771144279
overall_f1,0.7492317148125386
overall_accuracy,0.989421227487323
,
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,"{'precision': 0.22686567164179106, 'recall': 0.4779874213836478, 'f1': 0.3076923076923077, 'number': 159}"
BusinessAcquisitionPercentageOfVotingInterestsAcquired,"{'precision': 0.9347826086956522, 'recall': 0.8486842105263158, 'f1': 0.8896551724137931, 'number': 152}"
BusinessCombinationAcquisitionRelatedCosts,"{'precision': 0.6923076923076923, 'recall': 0.061224489795918366, 'f1': 0.1125, 'number': 147}"
BusinessCombinationConsiderationTransferred1,"{'precision': 0.7857142857142857, 'recall': 0.08527131782945736, 'f1': 0.15384615384615385, 'number': 258}"
BusinessCombinationContingentConsiderationLiability,"{'precision': 0.3235294117647059, 'recall': 0.14102564102564102, 'f1': 0.19642857142857145, 'number': 156}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,"{'precision': 0.16666666666666666, 'recall': 0.00980392156862745, 'f1': 0.018518518518518517, 'number': 102}"
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 68}"
Goodwill,"{'precision': 0.42424242424242425, 'recall': 0.5764705882352941, 'f1': 0.4887780548628428, 'number': 340}"
PaymentsToAcquireBusinessesGross,"{'precision': 0.7725118483412322, 'recall': 0.6763485477178424, 'f1': 0.7212389380530972, 'number': 241}"
overall_precision,0.4761171032357473
overall_recall,0.3807763401109057
overall_f1,0.4231427593289969
