,0
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.8246153846153846, 'recall': 0.4893487522824102, 'f1': 0.6142093200916731, 'number': 1643}"
DebtInstrumentCarryingAmount,"{'precision': 0.5, 'recall': 0.010752688172043012, 'f1': 0.02105263157894737, 'number': 372}"
DebtInstrumentConvertibleConversionPrice1,"{'precision': 0.5, 'recall': 0.022222222222222223, 'f1': 0.0425531914893617, 'number': 135}"
DebtInstrumentFaceAmount,"{'precision': 0.2425249169435216, 'recall': 0.10863095238095238, 'f1': 0.1500513874614594, 'number': 1344}"
DebtInstrumentFairValue,"{'precision': 0.05660377358490566, 'recall': 0.02727272727272727, 'f1': 0.03680981595092025, 'number': 220}"
DebtInstrumentInterestRateEffectivePercentage,"{'precision': 0.2857142857142857, 'recall': 0.011627906976744186, 'f1': 0.022346368715083796, 'number': 344}"
DebtInstrumentInterestRateStatedPercentage,"{'precision': 0.5913776944704779, 'recall': 0.34632272228320526, 'f1': 0.4368293527172032, 'number': 1822}"
DebtInstrumentMaturityDate,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 169}"
DebtInstrumentRedemptionPricePercentage,"{'precision': 0.11504424778761062, 'recall': 0.10196078431372549, 'f1': 0.10810810810810811, 'number': 255}"
DebtInstrumentTerm,"{'precision': 0.10256410256410256, 'recall': 0.037914691943127965, 'f1': 0.05536332179930796, 'number': 211}"
DebtInstrumentUnamortizedDiscount,"{'precision': 0.030303030303030304, 'recall': 0.007936507936507936, 'f1': 0.012578616352201257, 'number': 126}"
LineOfCreditFacilityMaximumBorrowingCapacity,"{'precision': 0.7761194029850746, 'recall': 0.030933967876264127, 'f1': 0.05949656750572082, 'number': 1681}"
LongTermDebt,"{'precision': 0.06910569105691057, 'recall': 0.04392764857881137, 'f1': 0.053712480252764615, 'number': 387}"
overall_precision,0.4883787661406026
overall_recall,0.19543001492708692
overall_f1,0.27915368213875674
overall_accuracy,0.9707008961993299
,
DebtInstrumentBasisSpreadOnVariableRate1,"{'precision': 0.844139650872818, 'recall': 0.4120511259890444, 'f1': 0.5537832310838446, 'number': 1643}"
