,0
ConcentrationRiskPercentage1,"{'precision': 0.9378378378378378, 'recall': 0.5186846038863976, 'f1': 0.6679499518768045, 'number': 669}"
ContractWithCustomerLiabilityRevenueRecognized,"{'precision': 0.42745098039215684, 'recall': 0.2794871794871795, 'f1': 0.33798449612403103, 'number': 390}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.2572062084257206, 'recall': 0.2951653944020356, 'f1': 0.27488151658767773, 'number': 393}"
RevenueFromContractWithCustomerIncludingAssessedTax,"{'precision': 0.18518518518518517, 'recall': 0.1282051282051282, 'f1': 0.15151515151515152, 'number': 78}"
RevenueFromRelatedParties,"{'precision': 0.15126050420168066, 'recall': 0.1945945945945946, 'f1': 0.1702127659574468, 'number': 185}"
RevenueRemainingPerformanceObligation,"{'precision': 0.55, 'recall': 0.028423772609819122, 'f1': 0.05405405405405406, 'number': 387}"
Revenues,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 175}"
overall_precision,0.448005698005698
overall_recall,0.27624066754501536
overall_f1,0.3417549578918772
overall_accuracy,0.9734063653840286
,
ConcentrationRiskPercentage1,"{'precision': 0.8945827232796486, 'recall': 0.9133034379671151, 'f1': 0.9038461538461537, 'number': 669}"
ContractWithCustomerLiabilityRevenueRecognized,"{'precision': 0.7226277372262774, 'recall': 0.5076923076923077, 'f1': 0.5963855421686746, 'number': 390}"
RevenueFromContractWithCustomerExcludingAssessedTax,"{'precision': 0.28222996515679444, 'recall': 0.20610687022900764, 'f1': 0.23823529411764707, 'number': 393}"
RevenueFromContractWithCustomerIncludingAssessedTax,"{'precision': 0.07291666666666667, 'recall': 0.08974358974358974, 'f1': 0.08045977011494253, 'number': 78}"
RevenueFromRelatedParties,"{'precision': 0.19682539682539682, 'recall': 0.33513513513513515, 'f1': 0.248, 'number': 185}"
RevenueRemainingPerformanceObligation,"{'precision': 0.7413793103448276, 'recall': 0.5555555555555556, 'f1': 0.6351550960118169, 'number': 387}"
Revenues,"{'precision': 0.33004926108374383, 'recall': 0.38285714285714284, 'f1': 0.3544973544973545, 'number': 175}"
overall_precision,0.5777467411545624
overall_recall,0.5450153711023277
overall_f1,0.56090395480226
overall_accuracy,0.9811266058405297
,
ConcentrationRiskPercentage1,"{'precision': 0.9205882352941176, 'recall': 0.9357249626307922, 'f1': 0.928094885100074, 'number': 669}"
