,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8181818181818182, 'recall': 0.13636363636363635, 'f1': 0.23376623376623376, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.31627906976744186, 'recall': 0.4755244755244755, 'f1': 0.37988826815642457, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.17880794701986755, 'recall': 0.21774193548387097, 'f1': 0.19636363636363635, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.16666666666666666, 'recall': 0.017857142857142856, 'f1': 0.03225806451612903, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.11864406779661017, 'recall': 0.1414141414141414, 'f1': 0.12903225806451615, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.3333333333333333, 'recall': 0.10679611650485436, 'f1': 0.16176470588235292, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.12751677852348994, 'recall': 0.24050632911392406, 'f1': 0.16666666666666669, 'number': 79}"
SharePrice,"{'precision': 0.3333333333333333, 'recall': 0.010526315789473684, 'f1': 0.020408163265306124, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.2128146453089245, 'recall': 0.510989010989011, 'f1': 0.3004846526655897, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 1.0, 'recall': 0.03735632183908046, 'f1': 0.07202216066481995, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.6944444444444444, 'recall': 0.12376237623762376, 'f1': 0.21008403361344538, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.14285714285714285, 'recall': 0.01, 'f1': 0.018691588785046728, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.15789473684210525, 'recall': 0.024793388429752067, 'f1': 0.04285714285714286, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.35034013605442177, 'recall': 0.48130841121495327, 'f1': 0.405511811023622, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.18840579710144928, 'recall': 0.3333333333333333, 'f1': 0.24074074074074076, 'number': 117}"
overall_precision,0.2526912181303116
overall_recall,0.162654996353027
overall_f1,0.19791435544708233
overall_accuracy,0.9722499357161224
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.8676470588235294, 'recall': 0.41843971631205673, 'f1': 0.5645933014354066, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.9058823529411765, 'recall': 0.7777777777777778, 'f1': 0.8369565217391305, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7384615384615385, 'recall': 0.6713286713286714, 'f1': 0.7032967032967035, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.3917525773195876, 'recall': 0.6129032258064516, 'f1': 0.4779874213836478, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.5833333333333334, 'recall': 0.12844036697247707, 'f1': 0.2105263157894737, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.5645161290322581, 'recall': 0.3125, 'f1': 0.40229885057471265, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.7162162162162162, 'recall': 0.5353535353535354, 'f1': 0.6127167630057803, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.6097560975609756, 'recall': 0.24271844660194175, 'f1': 0.3472222222222222, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.32608695652173914, 'recall': 0.4, 'f1': 0.3592814371257485, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.32903225806451614, 'recall': 0.6455696202531646, 'f1': 0.4358974358974359, 'number': 79}"
SharePrice,"{'precision': 0.42105263157894735, 'recall': 0.08421052631578947, 'f1': 0.14035087719298245, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.30180180180180183, 'recall': 0.36813186813186816, 'f1': 0.3316831683168317, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.8465909090909091, 'recall': 0.4281609195402299, 'f1': 0.5687022900763359, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.8392857142857143, 'recall': 0.46534653465346537, 'f1': 0.5987261146496815, 'number': 202}"
