sentence,real_label,pred_label
['The'],O,O
['intangible'],O,O
['assets'],O,O
['will'],O,O
['be'],O,O
['amortized'],O,O
['over'],O,O
['a'],O,O
['weighted'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['2'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['tradenames'],O,O
['/'],O,O
['trademarks'],O,O
"[',']",O,O
['10'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['customer'],O,O
['relationships'],O,O
"[',']",O,O
['and'],O,O
['12'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['contracts'],O,O
['with'],O,O
['sports'],O,O
['teams'],O,O
['on'],O,O
['a'],O,O
['straight'],O,O
['line'],O,O
['basis'],O,O
['.'],O,O
,,
['The'],O,O
['following'],O,O
['table'],O,O
['discloses'],O,O
['the'],O,O
['fair'],O,O
['value'],O,O
['and'],O,O
['contractual'],O,O
['value'],O,O
['of'],O,O
['loans'],O,O
['acquired'],O,O
['from'],O,O
['Green'],O,O
['on'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
[':'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['additional'],O,O
['information'],O,O
['about'],O,O
['PCI'],O,O
['loans'],O,O
['acquired'],O,O
['from'],O,O
['Green'],O,O
['on'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
[':'],O,O
['Intangible'],O,O
['Assets'],O,O
['The'],O,O
['acquisition'],O,O
['resulted'],O,O
['in'],O,O
['a'],O,O
['core'],O,O
['deposit'],O,O
['intangible'],O,O
['of'],O,O
['$'],O,O
"['65,718']",I-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,I-BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles
"[',']",O,O
['which'],O,O
['will'],O,O
['be'],O,O
['amortized'],O,O
['on'],O,O
['a'],O,O
['straight'],O,O
['line'],O,O
['basis'],O,O
['over'],O,O
['the'],O,O
['estimated'],O,O
['life'],O,O
['of'],O,O
['8'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['the'],O,O
['weighted'],O,O
['average'],O,O
['amortization'],O,O
['period'],O,O
['for'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['intangible'],O,O
['assets'],O,O
['was'],O,O
['approximately'],O,O
['17.3'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['.'],O,O
,,
['The'],O,O
['total'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['amortization'],O,O
