,0
AllocatedShareBasedCompensationExpense,"{'precision': 0.9451476793248945, 'recall': 0.5902503293807642, 'f1': 0.726682887266829, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.8554216867469879, 'recall': 0.15074309978768577, 'f1': 0.2563176895306859, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.9333333333333333, 'recall': 0.11864406779661017, 'f1': 0.2105263157894737, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.7841726618705036, 'recall': 0.19429590017825313, 'f1': 0.31142857142857144, 'number': 561}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"{'precision': 0.30350877192982456, 'recall': 0.8826530612244898, 'f1': 0.4516971279373368, 'number': 196}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"{'precision': 0.18181818181818182, 'recall': 0.02631578947368421, 'f1': 0.04597701149425287, 'number': 76}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"{'precision': 0.1, 'recall': 0.01652892561983471, 'f1': 0.028368794326241138, 'number': 121}"
overall_precision,0.6195158850226928
overall_recall,0.3174418604651163
overall_f1,0.41978472578165044
overall_accuracy,0.9773486641062532
,
AllocatedShareBasedCompensationExpense,"{'precision': 0.939935064935065, 'recall': 0.7628458498023716, 'f1': 0.8421818181818181, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.5507246376811594, 'recall': 0.4935064935064935, 'f1': 0.5205479452054795, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.9055555555555556, 'recall': 0.692144373673036, 'f1': 0.7845968712394705, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.8253968253968254, 'recall': 0.5174129353233831, 'f1': 0.6360856269113149, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.7777777777777778, 'recall': 0.5932203389830508, 'f1': 0.673076923076923, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.8414634146341463, 'recall': 0.3689839572192513, 'f1': 0.5130111524163568, 'number': 561}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"{'precision': 0.5671641791044776, 'recall': 0.7755102040816326, 'f1': 0.6551724137931034, 'number': 196}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"{'precision': 0.5, 'recall': 0.2894736842105263, 'f1': 0.3666666666666667, 'number': 76}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"{'precision': 0.4861111111111111, 'recall': 0.5785123966942148, 'f1': 0.5283018867924528, 'number': 121}"
overall_precision,0.7987773815588385
overall_recall,0.6077519379844961
overall_f1,0.6902927580893683
overall_accuracy,0.9854460707958288
,
AllocatedShareBasedCompensationExpense,"{'precision': 0.9285714285714286, 'recall': 0.8906455862977603, 'f1': 0.9092131809011433, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.5465116279069767, 'recall': 0.6103896103896104, 'f1': 0.5766871165644172, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.8960176991150443, 'recall': 0.8598726114649682, 'f1': 0.8775731310942579, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.8705035971223022, 'recall': 0.6019900497512438, 'f1': 0.711764705882353, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.6901408450704225, 'recall': 0.8305084745762712, 'f1': 0.7538461538461537, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.8270440251572327, 'recall': 0.46880570409982175, 'f1': 0.5984072810011376, 'number': 561}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"{'precision': 0.685823754789272, 'recall': 0.9132653061224489, 'f1': 0.7833698030634574, 'number': 196}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"{'precision': 0.43636363636363634, 'recall': 0.3157894736842105, 'f1': 0.36641221374045796, 'number': 76}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"{'precision': 0.8163265306122449, 'recall': 0.6611570247933884, 'f1': 0.7305936073059361, 'number': 121}"
overall_precision,0.8306274681878016
overall_recall,0.7337209302325581
overall_f1,0.7791726692735131
overall_accuracy,0.9883473442646342
,
AllocatedShareBasedCompensationExpense,"{'precision': 0.9170013386880856, 'recall': 0.9025032938076416, 'f1': 0.9096945551128819, 'number': 759}"
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,"{'precision': 0.6707317073170732, 'recall': 0.7142857142857143, 'f1': 0.6918238993710693, 'number': 77}"
EquityMethodInvestmentOwnershipPercentage,"{'precision': 0.9028697571743929, 'recall': 0.8683651804670913, 'f1': 0.8852813852813853, 'number': 471}"
EquityMethodInvestments,"{'precision': 0.8702702702702703, 'recall': 0.8009950248756219, 'f1': 0.8341968911917099, 'number': 201}"
IncomeLossFromEquityMethodInvestments,"{'precision': 0.75, 'recall': 0.8135593220338984, 'f1': 0.7804878048780488, 'number': 118}"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"{'precision': 0.7640692640692641, 'recall': 0.6292335115864528, 'f1': 0.6901270772238515, 'number': 561}"
