,0
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.9906542056074766, 'recall': 0.5353535353535354, 'f1': 0.6950819672131148, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.4864864864864865, 'recall': 0.6293706293706294, 'f1': 0.548780487804878, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.3508771929824561, 'recall': 0.16129032258064516, 'f1': 0.22099447513812154, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.22093023255813954, 'recall': 0.1919191919191919, 'f1': 0.20540540540540542, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.7333333333333333, 'recall': 0.10679611650485436, 'f1': 0.18644067796610167, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.13333333333333333, 'recall': 0.013333333333333334, 'f1': 0.024242424242424242, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.25517241379310346, 'recall': 0.46835443037974683, 'f1': 0.33035714285714285, 'number': 79}"
SharePrice,"{'precision': 1.0, 'recall': 0.010526315789473684, 'f1': 0.020833333333333332, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.25925925925925924, 'recall': 0.2692307692307692, 'f1': 0.2641509433962264, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.896551724137931, 'recall': 0.14942528735632185, 'f1': 0.2561576354679803, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.45161290322580644, 'recall': 0.06930693069306931, 'f1': 0.12017167381974249, 'number': 202}"
StockRepurchasedAndRetiredDuringPeriodShares,"{'precision': 0.2857142857142857, 'recall': 0.02, 'f1': 0.037383177570093455, 'number': 100}"
StockRepurchasedDuringPeriodShares,"{'precision': 0.15384615384615385, 'recall': 0.01904761904761905, 'f1': 0.03389830508474577, 'number': 105}"
TreasuryStockAcquiredAverageCostPerShare,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 121}"
TreasuryStockSharesAcquired,"{'precision': 0.4069400630914827, 'recall': 0.602803738317757, 'f1': 0.4858757062146893, 'number': 214}"
TreasuryStockValueAcquiredCostMethod,"{'precision': 0.20089285714285715, 'recall': 0.38461538461538464, 'f1': 0.26392961876832843, 'number': 117}"
overall_precision,0.39414567733151806
overall_recall,0.2111597374179431
overall_f1,0.2749940631678936
overall_accuracy,0.9746361532527642
,
CommonStockCapitalSharesReservedForFutureIssuance,"{'precision': 0.6460176991150443, 'recall': 0.5177304964539007, 'f1': 0.5748031496062991, 'number': 141}"
CommonStockDividendsPerShareDeclared,"{'precision': 0.8325991189427313, 'recall': 0.9545454545454546, 'f1': 0.8894117647058823, 'number': 198}"
CommonStockParOrStatedValuePerShare,"{'precision': 0.7278481012658228, 'recall': 0.8041958041958042, 'f1': 0.7641196013289037, 'number': 143}"
CommonStockSharesAuthorized,"{'precision': 0.528, 'recall': 0.532258064516129, 'f1': 0.5301204819277109, 'number': 124}"
CommonStockSharesOutstanding,"{'precision': 0.5272727272727272, 'recall': 0.26605504587155965, 'f1': 0.3536585365853658, 'number': 109}"
PreferredStockDividendRatePercentage,"{'precision': 0.7176470588235294, 'recall': 0.5446428571428571, 'f1': 0.6192893401015228, 'number': 112}"
PreferredStockSharesAuthorized,"{'precision': 0.6555555555555556, 'recall': 0.5959595959595959, 'f1': 0.6243386243386243, 'number': 99}"
ProceedsFromIssuanceOfCommonStock,"{'precision': 0.5538461538461539, 'recall': 0.34951456310679613, 'f1': 0.42857142857142855, 'number': 103}"
SaleOfStockNumberOfSharesIssuedInTransaction,"{'precision': 0.40404040404040403, 'recall': 0.5333333333333333, 'f1': 0.4597701149425287, 'number': 150}"
SaleOfStockPricePerShare,"{'precision': 0.4180327868852459, 'recall': 0.6455696202531646, 'f1': 0.5074626865671642, 'number': 79}"
SharePrice,"{'precision': 0.47540983606557374, 'recall': 0.30526315789473685, 'f1': 0.3717948717948718, 'number': 95}"
StockIssuedDuringPeriodSharesNewIssues,"{'precision': 0.3395061728395062, 'recall': 0.3021978021978022, 'f1': 0.3197674418604651, 'number': 182}"
StockRepurchaseProgramAuthorizedAmount1,"{'precision': 0.8497854077253219, 'recall': 0.5689655172413793, 'f1': 0.6815834767641996, 'number': 348}"
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"{'precision': 0.9864864864864865, 'recall': 0.3613861386138614, 'f1': 0.5289855072463768, 'number': 202}"
