,tokens,ner_tags
0,"['Acquisitions', 'Red', 'Sky', 'Solutions', ',', 'LLC', 'On', 'April', '3', ',', '2018', ',', 'the', 'Company', 'completed', 'the', 'acquisition', '(', '“', 'Red', 'Sky', 'Acquisition', '”', ')', 'of', 'all', 'of', 'the', 'issued', 'and', 'outstanding', 'units', 'of', 'Red', 'Sky', 'Solutions', ',', 'LLC', 'in', 'exchange', 'for', '$', '36.6', 'million', 'paid', 'in', 'cash', 'and', 'approximately', '$', '4.1', 'million', 'paid', 'in', '269,287', 'restricted', 'shares', 'of', 'the', 'Company', '’', 's', 'common', 'stock', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['The', 'initial', 'purchase', 'consideration', 'for', 'the', 'acquisition', 'was', '$', '750,000', ',', 'of', 'which', '$', '650,000', 'was', 'paid', 'in', 'cash', 'and', 'the', 'balance', 'was', 'settled', 'by', 'issuing', '1,177,630', 'shares', 'of', 'Ener', 'Sys', 'common', 'stock', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2,"['Acquisitions', 'In', 'connection', 'with', 'the', 'Transaction', ',', 'the', 'Company', 'paid', 'approximately', '$', '94.4', 'million', 'for', 'the', 'assets', ',', 'comprised', 'of', '$', '50.0', 'million', 'in', 'cash', 'and', '$', '44.4', 'million', ',', 'or', '1,953,407', 'shares', ',', 'of', 'Class', 'A', 'equity', 'interests', 'of', 'Outfront', 'Canada', ',', 'subject', 'to', 'post', '-', 'closing', 'adjustments', '(', 'upward', 'or', 'downward', ')', 'for', 'closing', 'date', 'working', 'capital', 'and', 'indebtedness', ',', 'and', 'for', 'the', 'achievement', 'of', 'certain', 'operating', 'income', 'before', 'depreciation', 'and', 'amortization', 'targets', 'relating', 'to', 'the', 'acquired', 'assets', 'in', '2017', 'and', '2018', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['The', 'aggregate', 'merger', 'consideration', 'paid', 'was', '$', '351.7', 'million', ',', 'which', 'was', 'comprised', 'of', '1,344,387', 'shares', 'of', 'Teladoc', 'Health', '’', 's', 'common', 'stock', 'valued', 'at', '$', '68.6', 'million', 'on', 'May', '31', ',', '2018', ',', 'and', '$', '283.1', 'million', 'of', 'net', 'cash', '.']","[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]"
4,"['Business', 'Acquisitions', '-', 'For', 'businesses', 'acquired', 'in', '2016', ',', 'the', 'remaining', 'consideration', 'consists', 'of', '(', 'i', ')', '40,524', 'shares', 'of', 'Class', 'A', 'common', 'stock', 'subject', 'to', 'non', '-', 'compete', 'provisions', 'and', 'employment', 'conditions', ',', 'and', 'non', '-', 'contingent', 'interests', 'exchangeable', 'into', '202,984', 'shares', 'of', 'Class', 'A', 'common', 'stock', ',', 'and', '(', 'ii', ')', 'up', 'to', '499,793', 'additional', 'shares', 'of', 'Class', 'A', 'common', 'stock', 'that', 'are', 'subject', 'to', 'certain', 'performance', 'thresholds', ',', 'as', 'well', 'as', 'applicable', 'related', 'dividend', 'equivalent', 'amounts', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['In', 'June', '2018', ',', 'the', 'Company', 'acquired', '100', 'percent', 'of', 'the', 'equity', 'interests', 'of', 'ST', '.', 'LA', '.']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['On', 'July', '31', ',', '2018', ',', 'Dekko', 'acquired', '100', '%', 'of', 'the', 'issued', 'and', 'outstanding', 'shares', 'of', 'Furnlite', ',', 'Inc.', ',', 'a', 'Fallston', ',', 'NC', '-', 'based', 'manufacturer', 'of', 'power', 'and', 'data', 'solutions', 'for', 'the', 'hospitality', 'and', 'residential', 'furniture', 'industries', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['Acquisition', 'On', 'November', '30', ',', '2017', ',', 'we', 'acquired', '100', '%', 'of', 'the', 'outstanding', 'stock', 'of', 'Diboll', 'State', 'Bancshares', ',', 'Inc.', 'and', 'its', 'wholly', '-', 'owned', 'subsidiary', 'First', 'Bank', '&', 'Trust', 'East', 'Texas', '(', 'collectively', ',', '“', 'Diboll', '”', ')', 'headquartered', 'in', 'Diboll', ',', 'Texas', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['de', 'C.V.', ',', 'or', 'GdC', ')', 'On', 'September', '26', ',', '2016', ',', 'IEnova', 'completed', 'the', 'acquisition', 'of', 'PEMEX', '’', 's', '50', '-', 'percent', 'interest', 'in', 'IEnova', 'Pipelines', 'for', 'a', 'purchase', 'price', 'of', '$', '1.144', 'billion', '(', 'exclusive', 'of', '$', '66', 'million', 'of', 'cash', 'and', 'cash', 'equivalents', 'acquired', ')', ',', 'plus', 'the', 'assumption', 'of', '$', '364', 'million', 'of', 'long', '-', 'term', 'debt', ',', 'increasing', 'IEnova', '’', 's', 'ownership', 'interest', 'in', 'IEnova', 'Pipelines', 'to', '100', 'percent', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['The', 'legal', 'form', 'of', 'the', 'Tholu', 'Acquisition', 'is', 'a', 'joint', 'venture', 'with', 'the', 'former', 'Tholu', 'owner', ',', 'but', 'due', 'to', 'the', 'economic', 'structure', 'of', 'the', 'transaction', 'the', 'Company', 'is', 'deemed', 'to', 'be', 'the', '100', '%', 'economic', 'owner', ',', 'and', 'under', 'GAAP', ',', 'the', 'Company', 'will', 'record', 'and', 'report', '100', '%', 'of', 'all', 'future', 'income', 'or', 'loss', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
